country,year,gdp_per_capita,health_expenditure,sanitation,physicians,hospital_beds,urbanisation,agricultural_land,gini,water_access
Germany,2015,41929.7549110722,10.92317677,96.5483114720372,4.12,8.09,80.6974371632814,47.9590666743106,31.4,100.0
Germany,2016,42948.9381932694,10.97133732,96.577971344815,4.166,8.02,80.8347870684725,47.6843370735058,31.3,99.9999994713636
Germany,2017,45553.9341495339,11.05091095,96.6085525266115,4.226,7.96,80.9842544038853,47.7631164667831,31.3,100.0
Germany,2018,48916.1686612154,11.18380833,96.6401240691983,4.287,7.94,81.1423036204018,47.6415364359723,31.9,100.0
Germany,2019,47656.199739747,11.42805386,96.6726105442792,4.373,7.87,81.3053991689039,47.7002776267209,32.2,99.9999994577197
Germany,2020,47394.8734504469,12.46780777,96.7060213162779,4.443,7.77,81.4700055002738,47.4970663155786,32.5,99.9999988416059
Germany,2021,52349.2459994422,12.72403336,96.7404263743549,4.503,7.71,81.6325870653934,47.4856177910072,33.6,99.9999988425523
Germany,2022,50506.5179638543,12.44708347,96.7477707370116,4.534,7.64,81.7867852780995,47.5011449507671,33.7,99.9999971569363
Germany,2023,54776.7668235491,11.74428654,96.7560342912925,,7.55,81.9034366692129,47.4658729931603,,99.9999970615884
Spain,2015,25982.4416197775,9.17553329,90.2856540963576,3.826,2.96,79.2454892743023,53.1890621841609,36.2,99.9267194862736
Spain,2016,26755.6061149398,8.88084984,90.0486458359576,3.803,2.95,79.3615955277997,52.5772473596977,35.8,99.9265065763433
Spain,2017,28381.3425596906,9.0217495,89.8040220951472,3.854,2.96,79.4663233085683,52.6387138276281,34.7,99.9262777210373
Spain,2018,30602.4212881113,9.07122517,89.5559671154744,3.996,2.95,79.5580057813361,52.408209711446,34.7,99.9260612803023
Spain,2019,29786.5245689007,9.21539497,89.3056268079623,4.376,2.93,79.6349761108307,52.4584917258728,34.3,99.9258322377834
Spain,2020,27233.9426461608,10.79479218,89.0530123348322,4.546,2.94,79.6955674617799,52.3316792232841,34.9,99.9256069689441
Spain,2021,30799.4775937775,10.34419918,88.798121558736,4.457,2.94,79.7846242983598,52.4848941208322,33.9,99.9253882857533
Spain,2022,30319.4987196616,9.6799593,88.5409249709715,4.294,2.94,79.9548794567814,53.3572810066811,33.6,99.9251513451199
Spain,2023,33493.2225409111,9.2206583,88.2814508346932,,2.91,80.128491001856,49.5753269878931,33.4,99.9249297229504
France,2015,36702.4323733379,11.50032997,89.1020184766067,3.184,6.28,77.7610919150066,53.301604972632,32.7,99.9999999037222
France,2016,37024.2157133669,11.57036018,89.2032718261667,3.2,6.21,78.5999114705779,53.2851303460432,31.9,100.0
France,2017,38687.1626407164,11.44944572,89.3039361676649,3.217,6.12,78.6467804026368,53.2470526022822,31.6,100.0
France,2018,41418.1766484844,11.30847645,89.4040117568963,3.214,6.04,78.6714432536599,53.1776602653307,32.4,99.9999999523043
France,2019,40408.2848574751,11.17058277,89.5035027976522,3.243,5.96,78.6890784549356,52.915574914185,31.2,100.0
France,2020,39169.8606000707,12.12949371,89.6024038847548,3.252,5.86,78.7119131765249,52.729670655905,30.7,100.0
France,2021,43725.0999521245,12.24894238,89.7007175117539,3.264,5.77,78.7364603392338,52.7417272474256,31.5,100.0
France,2022,40988.6396406579,11.82888794,89.7984470704875,3.281,5.65,78.7591921123356,52.6738892290565,31.2,100.0
France,2023,44700.1384177544,11.51974583,89.8955879250302,,,78.7804323126547,52.5043974394656,31.8,100.0
United Kingdom,2015,45255.3449216209,9.94044876,97.6761729906687,2.767,2.6,81.8243772295647,70.8386723432398,33.3,100.0
United Kingdom,2016,41257.9085545556,9.87085724,97.6953211125445,2.773,2.56,82.0229991698295,71.7148836440293,33.1,99.9999991226354
United Kingdom,2017,40916.8115070354,9.70468903,97.714248817599,2.802,2.53,82.23065673273,72.1950667548465,32.6,99.9999980808565
United Kingdom,2018,43702.9976303165,9.79496574,97.7330314127628,2.828,2.48,82.4465657551295,71.7185202331253,33.7,99.9999994148157
United Kingdom,2019,43158.7411267323,9.97954082,97.7517395328118,2.932,2.44,82.6699420738913,72.4229988013062,32.8,100.0
