country,year,total_DDD,watch_proportion,ses_risk_score,antibiotic_pressure_index
Argentina,2004,10.3,0.2698,0.4276099116294855,2.77894
Argentina,2005,10.17,0.2569,0.5082571807699199,2.612673
Argentina,2006,9.8,0.2787,0.4772457319515106,2.7312600000000002
Argentina,2007,10.81,0.2741,0.4943107827168729,2.9630210000000003
Argentina,2008,10.69,0.2873,0.4750076116512532,3.071237
Argentina,2009,11.58,0.2768,0.4687446369319245,3.2053439999999997
Argentina,2010,11.18,0.2774,0.4420608509762882,3.1013319999999998
Argentina,2011,11.28,0.2843,0.42472771345748517,3.2069039999999998
Argentina,2012,11.55,0.2929,0.29915768772647744,3.382995
Argentina,2013,11.86,0.2865,0.29680024714538916,3.3978899999999994
Argentina,2014,12.81,0.2857,0.29864238686511924,3.6598170000000003
Argentina,2015,11.77,0.2997,0.28884129736938935,3.527469
Argentina,2016,11.77,0.3016,0.29304197824199774,3.5498319999999994
Argentina,2017,13.19,0.3027,0.22594983923659975,3.992613
Argentina,2018,13.0,0.2845,0.23064832555956893,3.6984999999999997
Argentina,2019,13.42,0.312,0.23770614185232647,4.18704
Argentina,2020,12.93,0.3301,0.2326308572385772,4.268193
Argentina,2021,13.11,0.2972,0.224487717018519,3.8962920000000003
Argentina,2022,13.08,0.3173,0.22297327442319828,4.150284
Argentina,2023,14.14,0.3244,0.2210000664824726,4.587016
Argentina,2024,14.07,0.3149,0.40331827945773724,4.430643
Argentina,2025,14.74,0.317,0.39855663312519984,4.67258
Argentina,2026,14.12,0.343,0.38885633535867525,4.84316
Argentina,2027,14.87,0.3367,0.4046882360363443,5.006729
Argentina,2028,15.25,0.3293,0.39945892614375955,5.021825
Argentina,2029,14.99,0.3444,0.36303419572550566,5.1625559999999995
Argentina,2030,15.15,0.3444,0.40493227577413654,5.2176599999999995
Australia,2004,10.16,0.2511,0.264434694411526,2.551176
Australia,2005,10.79,0.2531,0.25915004714170375,2.730949
Australia,2006,10.69,0.2697,0.25462948132860774,2.8830929999999997
Australia,2007,11.31,0.2608,0.24354509058578722,2.949648
Australia,2008,10.78,0.274,0.23519719081692853,2.95372
Australia,2009,11.27,0.2867,0.2323382276497255,3.231109
Australia,2010,11.52,0.2812,0.2177730488948827,3.239424
Australia,2011,12.01,0.305,0.2128598237791117,3.6630499999999997
Australia,2012,11.26,0.2869,0.20887377380459238,3.2304939999999998
Australia,2013,12.3,0.2909,0.205300091615287,3.5780700000000003
Australia,2014,12.77,0.2897,0.19383186144803105,3.699469
Australia,2015,11.99,0.3047,0.1913255244018734,3.6533530000000005
Australia,2016,11.49,0.2942,0.19262728107700344,3.380358
Australia,2017,13.75,0.3023,0.18592576854165987,4.156625
Australia,2018,13.14,0.2955,0.1813284248225151,3.88287
Australia,2019,13.19,0.3066,0.17737094909830087,4.044054
Australia,2020,14.14,0.3009,0.17099623533124145,4.254726
Australia,2021,12.5,0.3181,0.1647092646038722,3.97625
Australia,2022,14.42,0.3101,0.16422142011374047,4.471642
Australia,2023,13.27,0.3093,0.2643979632363887,4.104411
Australia,2024,14.37,0.3174,0.3917308033510668,4.561038
Australia,2025,14.42,0.3024,0.40327531112937565,4.360608
Australia,2026,14.39,0.3369,0.4008555134411051,4.8479909999999995
Australia,2027,14.69,0.3218,0.3800481905094981,4.7272419999999995
Australia,2028,15.42,0.3449,0.4025645063312599,5.318358
Australia,2029,15.01,0.3306,0.3831867859950061,4.962306
Australia,2030,15.91,0.3355,0.3930297061212876,5.337805
Austria,2004,10.13,0.281,0.4775138078834964,2.8465300000000004
Austria,2005,10.47,0.261,0.4436758941096747,2.73267
Austria,2006,9.81,0.2694,0.4599836238981279,2.642814
Austria,2007,10.77,0.2658,0.487492063886945,2.8626659999999995
Austria,2008,11.37,0.2621,0.4548372629374965,2.9800769999999996
Austria,2009,10.57,0.2701,0.40788438756915657,2.854957
Austria,2010,11.38,0.2657,0.44189176566386723,3.023666
Austria,2011,11.12,0.2752,0.43418088820183304,3.060224
Austria,2012,11.76,0.2793,0.4505303119661172,3.2845679999999997
Austria,2013,12.36,0.2671,0.43428251043355404,3.3013559999999997
Austria,2014,12.33,0.2862,0.4436042669786321,3.528846
Austria,2015,12.55,0.3148,0.42109367962651223,3.9507400000000006
Austria,2016,12.53,0.3,0.4065176655966656,3.7589999999999995
Austria,2017,13.1,0.2878,0.40557172882115433,3.77018
Austria,2018,13.23,0.3122,0.4004092026038928,4.130406
Austria,2019,13.11,0.3136,0.40503700355304684,4.111295999999999
Austria,2020,13.41,0.3025,0.411520028756422,4.056525
Austria,2021,13.04,0.3229,0.405328181656582,4.210616
Austria,2022,14.48,0.3082,0.4024054877305767,4.462736
Austria,2023,14.11,0.307,0.4022659725319805,4.33177
Austria,2024,13.98,0.3172,0.39867457326162886,4.434456
Austria,2025,13.91,0.3244,0.40109017692238247,4.512404
Austria,2026,14.96,0.3338,0.39132259310475104,4.993648
Austria,2027,14.56,0.3454,0.3772213037247607,5.029024
Austria,2028,15.05,0.3522,0.39466708065346845,5.300610000000001
Austria,2029,14.65,0.3674,0.36774607323076036,5.38241
Austria,2030,15.3,0.3284,0.37960845483632966,5.024520000000001
Belgium,2004,9.74,0.2716,0.48553849625849893,2.645384
Belgium,2005,10.73,0.2734,0.45047216539141305,2.933582
Belgium,2006,10.81,0.257,0.4755763202299623,2.7781700000000003
Belgium,2007,10.71,0.2482,0.4266762918960898,2.6582220000000003
Belgium,2008,10.62,0.281,0.4613758181543852,2.98422
Belgium,2009,10.42,0.3011,0.43321324491274876,3.1374619999999998
Belgium,2010,11.88,0.2689,0.42105394632482207,3.1945319999999997
Belgium,2011,11.87,0.289,0.40634100386609495,3.4304299999999994
Belgium,2012,11.72,0.2923,0.44413143255577847,3.4257560000000002
Belgium,2013,11.87,0.2892,0.43477245845401224,3.432804
Belgium,2014,12.4,0.2973,0.41034252478824007,3.6865200000000002
Belgium,2015,12.52,0.2991,0.40444937812915777,3.7447319999999995
Belgium,2016,12.98,0.3066,0.43597209056819175,3.9796679999999998
Belgium,2017,12.32,0.2943,0.4032209117439568,3.625776
Belgium,2018,13.58,0.3205,0.4091037722478418,4.35239
Belgium,2019,13.42,0.3052,0.40708479371838524,4.095784
Belgium,2020,13.73,0.3178,0.4068486610618912,4.363394
Belgium,2021,12.98,0.3147,0.40409958376283994,4.0848059999999995
Belgium,2022,13.24,0.3124,0.4024054877305767,4.136176
Belgium,2023,14.01,0.3372,0.40056198189956815,4.724172
Belgium,2024,13.35,0.3194,0.4022608129381447,4.26399
Belgium,2025,14.67,0.3327,0.3957850873924943,4.8807089999999995
Belgium,2026,14.94,0.3191,0.396870826829123,4.767354
Belgium,2027,14.75,0.3274,0.3773510482922219,4.82915
Belgium,2028,15.52,0.3336,0.40284061203775445,5.177472
Belgium,2029,15.21,0.3399,0.39522462072234066,5.169879
Belgium,2030,14.88,0.3462,0.36254334671149535,5.1514560000000005
Brazil,2004,11.76,0.2848,0.5169428932957112,3.349248
Brazil,2005,12.11,0.298,0.5233413769070047,3.60878
Brazil,2006,12.62,0.3083,0.49336704357296723,3.890746
Brazil,2007,11.91,0.3057,0.48515594321101396,3.640887
Brazil,2008,13.34,0.2979,0.4782702658936784,3.973986
Brazil,2009,14.08,0.2837,0.4545033398883265,3.9944960000000003
Brazil,2010,13.49,0.3135,0.4764784029513448,4.229115
Brazil,2011,13.84,0.3002,0.4592843393343179,4.154768000000001
Brazil,2012,14.06,0.3028,0.4666706631991937,4.2573680000000005
Brazil,2013,13.86,0.3034,0.4506227025198356,4.205124
Brazil,2014,14.62,0.3161,0.4192423510467225,4.621382
Brazil,2015,15.41,0.3245,0.44574311617866225,5.000545
Brazil,2016,14.01,0.327,0.4216366799438699,4.58127
Brazil,2017,14.36,0.3192,0.41754088683367124,4.583711999999999
Brazil,2018,15.06,0.3141,0.4174043381249627,4.730346
Brazil,2019,15.0,0.3213,0.4083960925847368,4.8195
Brazil,2020,15.46,0.3303,0.41255654502474554,5.106438
Brazil,2021,15.56,0.3511,0.4140599168126139,5.463116
Brazil,2022,16.02,0.3413,0.4054852063475498,5.467626
Brazil,2023,16.44,0.3586,0.39424208379829356,5.895384
