country,risk_score_2030,risk_tier,region,income_group,top_interventions
Indonesia,65.44981481481481,Critical,South/SE Asia,LMI,"URGENT: Declare national AMR emergency and activate crisis response plan
Immediately restrict OTC antibiotic sales -- mandatory prescription required
Deploy WHO-supported antimicrobial stewardship programmes in all hospitals"
Egypt,48.0610752688172,High,Unknown,Unknown,"Implement national antibiotic stewardship action plan within 12 months
Restrict Watch-group antibiotic prescribing to specialist approval
Mandatory reporting of AMR surveillance data to national authority"
Estonia,44.215,Medium,Unknown,Unknown,"Strengthen AMR surveillance network and data quality
Promote AWaRe-compliant formularies in primary care
Community awareness campaigns on antibiotic resistance"
Ghana,43.515833333333326,Medium,Unknown,Unknown,"Strengthen AMR surveillance network and data quality
Promote AWaRe-compliant formularies in primary care
Community awareness campaigns on antibiotic resistance"
Honduras,43.439320388349515,Medium,Unknown,Unknown,"Strengthen AMR surveillance network and data quality
Promote AWaRe-compliant formularies in primary care
Community awareness campaigns on antibiotic resistance"
Tunisia,42.645353535353536,Medium,Unknown,Unknown,"Strengthen AMR surveillance network and data quality
Promote AWaRe-compliant formularies in primary care
Community awareness campaigns on antibiotic resistance"
Serbia,39.614588235294114,Medium,Unknown,Unknown,"Strengthen AMR surveillance network and data quality
Promote AWaRe-compliant formularies in primary care
Community awareness campaigns on antibiotic resistance"
Malawi,38.53575757575758,Medium,Unknown,Unknown,"Strengthen AMR surveillance network and data quality
Promote AWaRe-compliant formularies in primary care
Community awareness campaigns on antibiotic resistance"
Slovak Republic,37.54650485436893,Medium,Unknown,Unknown,"Strengthen AMR surveillance network and data quality
Promote AWaRe-compliant formularies in primary care
Community awareness campaigns on antibiotic resistance"
India,37.230095465393795,Medium,South/SE Asia,LMI,"Strengthen AMR surveillance network and data quality
Promote AWaRe-compliant formularies in primary care
Community awareness campaigns on antibiotic resistance"
Mauritius,36.81305882352941,Medium,Unknown,Unknown,"Strengthen AMR surveillance network and data quality
Promote AWaRe-compliant formularies in primary care
Community awareness campaigns on antibiotic resistance"
Turkey,35.92854077253219,Medium,Unknown,Unknown,"Strengthen AMR surveillance network and data quality
Promote AWaRe-compliant formularies in primary care
Community awareness campaigns on antibiotic resistance"
Puerto Rico,35.53222222222222,Medium,Unknown,Unknown,"Strengthen AMR surveillance network and data quality
Promote AWaRe-compliant formularies in primary care
Community awareness campaigns on antibiotic resistance"
Ukraine,34.75362934362935,Medium,Unknown,Unknown,"Strengthen AMR surveillance network and data quality
Promote AWaRe-compliant formularies in primary care
Community awareness campaigns on antibiotic resistance"
Vietnam,34.269905660377354,Medium,Unknown,Unknown,"Strengthen AMR surveillance network and data quality
Promote AWaRe-compliant formularies in primary care
Community awareness campaigns on antibiotic resistance"
Guatemala,33.71384375,Medium,Unknown,Unknown,"Strengthen AMR surveillance network and data quality
Promote AWaRe-compliant formularies in primary care
Community awareness campaigns on antibiotic resistance"
Pakistan,33.54181818181818,Medium,Unknown,Unknown,"Strengthen AMR surveillance network and data quality
Promote AWaRe-compliant formularies in primary care
Community awareness campaigns on antibiotic resistance"
Romania,32.71910669975186,Medium,Unknown,Unknown,"Strengthen AMR surveillance network and data quality
Promote AWaRe-compliant formularies in primary care
Community awareness campaigns on antibiotic resistance"
Latvia,31.750319488817894,Medium,Unknown,Unknown,"Strengthen AMR surveillance network and data quality
Promote AWaRe-compliant formularies in primary care
Community awareness campaigns on antibiotic resistance"
Qatar,31.70063025210084,Medium,Unknown,Unknown,"Strengthen AMR surveillance network and data quality
Promote AWaRe-compliant formularies in primary care
Community awareness campaigns on antibiotic resistance"
Greece,30.870740740740743,Medium,Unknown,Unknown,"Strengthen AMR surveillance network and data quality
Promote AWaRe-compliant formularies in primary care
Community awareness campaigns on antibiotic resistance"
Morocco,30.67770226537217,Medium,Unknown,Unknown,"Strengthen AMR surveillance network and data quality
Promote AWaRe-compliant formularies in primary care
Community awareness campaigns on antibiotic resistance"
Nigeria,30.374650602409638,Medium,Sub-Saharan Africa,LMI,"Strengthen AMR surveillance network and data quality
Promote AWaRe-compliant formularies in primary care
Community awareness campaigns on antibiotic resistance"
Ivory Coast,29.323015075376883,Medium,Unknown,Unknown,"Strengthen AMR surveillance network and data quality
Promote AWaRe-compliant formularies in primary care
Community awareness campaigns on antibiotic resistance"
Jordan,29.22293577981651,Medium,Unknown,Unknown,"Strengthen AMR surveillance network and data quality
Promote AWaRe-compliant formularies in primary care
Community awareness campaigns on antibiotic resistance"
Brazil,29.143598326359832,Medium,Latin America,UMI,"Strengthen AMR surveillance network and data quality
Promote AWaRe-compliant formularies in primary care
Community awareness campaigns on antibiotic resistance"
El Salvador,28.98309523809524,Medium,Unknown,Unknown,"Strengthen AMR surveillance network and data quality
Promote AWaRe-compliant formularies in primary care
Community awareness campaigns on antibiotic resistance"
Poland,28.750792291220556,Medium,Unknown,Unknown,"Strengthen AMR surveillance network and data quality
Promote AWaRe-compliant formularies in primary care
Community awareness campaigns on antibiotic resistance"
Panama,28.741660231660234,Medium,Unknown,Unknown,"Strengthen AMR surveillance network and data quality
Promote AWaRe-compliant formularies in primary care
Community awareness campaigns on antibiotic resistance"
Jamaica,28.561340206185566,Medium,Unknown,Unknown,"Strengthen AMR surveillance network and data quality
Promote AWaRe-compliant formularies in primary care
Community awareness campaigns on antibiotic resistance"
Kenya,28.262114537444933,Medium,Sub-Saharan Africa,LMI,"Strengthen AMR surveillance network and data quality
Promote AWaRe-compliant formularies in primary care
Community awareness campaigns on antibiotic resistance"
Taiwan,28.079297520661154,Medium,Unknown,Unknown,"Strengthen AMR surveillance network and data quality
Promote AWaRe-compliant formularies in primary care
Community awareness campaigns on antibiotic resistance"
Namibia,27.686818181818182,Medium,Unknown,Unknown,"Strengthen AMR surveillance network and data quality
Promote AWaRe-compliant formularies in primary care
Community awareness campaigns on antibiotic resistance"
Nicaragua,27.657708333333332,Medium,Unknown,Unknown,"Strengthen AMR surveillance network and data quality
Promote AWaRe-compliant formularies in primary care
Community awareness campaigns on antibiotic resistance"
Argentina,27.2286862745098,Medium,Unknown,Unknown,"Strengthen AMR surveillance network and data quality
Promote AWaRe-compliant formularies in primary care
Community awareness campaigns on antibiotic resistance"
South Africa,27.09750479846449,Medium,Sub-Saharan Africa,UMI,"Strengthen AMR surveillance network and data quality
Promote AWaRe-compliant formularies in primary care
Community awareness campaigns on antibiotic resistance"
Bulgaria,26.919379310344826,Medium,Unknown,Unknown,"Strengthen AMR surveillance network and data quality
Promote AWaRe-compliant formularies in primary care
Community awareness campaigns on antibiotic resistance"
Croatia,26.42002762430939,Medium,Unknown,Unknown,"Strengthen AMR surveillance network and data quality
Promote AWaRe-compliant formularies in primary care
Community awareness campaigns on antibiotic resistance"
Philippines,26.365110663983902,Medium,Unknown,Unknown,"Strengthen AMR surveillance network and data quality
Promote AWaRe-compliant formularies in primary care
Community awareness campaigns on antibiotic resistance"
Venezuela,25.76528028933092,Medium,Unknown,Unknown,"Strengthen AMR surveillance network and data quality
Promote AWaRe-compliant formularies in primary care
Community awareness campaigns on antibiotic resistance"
Cameroon,25.472540540540543,Medium,Unknown,Unknown,"Strengthen AMR surveillance network and data quality
Promote AWaRe-compliant formularies in primary care
Community awareness campaigns on antibiotic resistance"
Saudi Arabia,24.617957746478872,Low,Unknown,Unknown,"Maintain existing stewardship programmes and monitoring
Continue AMR surveillance reporting to WHO GLASS
Sustain environmental sanitation and WASH standards"
Mexico,24.417379679144386,Low,Latin America,UMI,"Maintain existing stewardship programmes and monitoring
Continue AMR surveillance reporting to WHO GLASS
Sustain environmental sanitation and WASH standards"
Uganda,24.322692307692307,Low,Unknown,Unknown,"Maintain existing stewardship programmes and monitoring
Continue AMR surveillance reporting to WHO GLASS
Sustain environmental sanitation and WASH standards"
Dominican Republic,24.25722222222222,Low,Unknown,Unknown,"Maintain existing stewardship programmes and monitoring
Continue AMR surveillance reporting to WHO GLASS
Sustain environmental sanitation and WASH standards"
Colombia,24.011875,Low,Unknown,Unknown,"Maintain existing stewardship programmes and monitoring
Continue AMR surveillance reporting to WHO GLASS
Sustain environmental sanitation and WASH standards"
Chile,23.939570135746603,Low,Unknown,Unknown,"Maintain existing stewardship programmes and monitoring
Continue AMR surveillance reporting to WHO GLASS
Sustain environmental sanitation and WASH standards"
Lithuania,23.716631578947368,Low,Unknown,Unknown,"Maintain existing stewardship programmes and monitoring
Continue AMR surveillance reporting to WHO GLASS
Sustain environmental sanitation and WASH standards"
