feature,importance
rolling3_mean_resistance,0.4673040934042556
lag1_resistance,0.29068509396642156
delta_resistance,0.08642682189438274
lag2_resistance,0.057182901984910904
lag3_resistance,0.047352277906128955
drug_enc,0.018453986257976295
pathogen_enc,0.012635157872591627
gdp_per_capita,0.004965184032710664
year_norm,0.0034804020082823467
antibiotic_pressure_index,0.0022957894659344203
ses_risk_score,0.002144322083177035
sanitation,0.0017113866344851366
lag1_total_DDD,0.0013826848339076954
physicians,0.0013278734087659601
lag1_watch_proportion,0.00132718828896342
country_enc,0.001324835957105681
