feature,coefficient
lag1_resistance,30.494543837452834
delta_resistance,14.900159219897864
rolling3_mean_resistance,0.061599225907993084
lag3_resistance,-0.020627299758581893
lag2_resistance,-0.01614742119061171
ses_risk_score,0.00019816454144744216
sanitation,7.411108729486727e-05
physicians,7.319777273524836e-05
antibiotic_pressure_index,-4.421200146307416e-05
gdp_per_capita,3.7799184513452885e-05
health_expenditure,2.2404366814792087e-05
lag1_total_DDD,1.1363877225222527e-05
water_access,-1.0881285194777396e-05
lag1_watch_proportion,6.718591691763985e-06
gini,4.7418782222320915e-06
urbanisation,-2.446857245209576e-06
