country,combo,year,yhat,yhat_lower,yhat_upper,source
India,A_baumannii_COL,2024,0.78,0.0,7.25,xgboost
India,E_coli_COL,2024,0.78,0.0,7.25,xgboost
India,K_pneumoniae_COL,2024,0.78,0.0,7.25,xgboost
India,Klebsiella_spp_COL,2024,0.78,0.0,7.25,xgboost
India,P_aeruginosa_COL,2024,0.78,0.0,7.25,xgboost
India,Pseudomonas_spp_COL,2024,0.78,0.0,7.25,xgboost
India,A_baumannii_COL,2025,0.78,0.0,7.25,xgboost
India,E_coli_COL,2025,0.78,0.0,7.25,xgboost
India,K_pneumoniae_COL,2025,0.78,0.0,7.25,xgboost
India,Klebsiella_spp_COL,2025,0.78,0.0,7.25,xgboost
India,P_aeruginosa_COL,2025,0.78,0.0,7.25,xgboost
India,Pseudomonas_spp_COL,2025,0.78,0.0,7.25,xgboost
India,A_baumannii_COL,2026,0.78,0.0,7.25,xgboost
India,E_coli_COL,2026,0.78,0.0,7.25,xgboost
India,K_pneumoniae_COL,2026,0.78,0.0,7.25,xgboost
India,Klebsiella_spp_COL,2026,0.78,0.0,7.25,xgboost
India,P_aeruginosa_COL,2026,0.78,0.0,7.25,xgboost
India,Pseudomonas_spp_COL,2026,0.78,0.0,7.25,xgboost
India,A_baumannii_COL,2027,0.78,0.0,7.25,xgboost
India,E_coli_COL,2027,0.78,0.0,7.25,xgboost
India,K_pneumoniae_COL,2027,0.78,0.0,7.25,xgboost
India,Klebsiella_spp_COL,2027,0.78,0.0,7.25,xgboost
India,P_aeruginosa_COL,2027,0.78,0.0,7.25,xgboost
India,Pseudomonas_spp_COL,2027,0.78,0.0,7.25,xgboost
India,A_baumannii_COL,2028,0.78,0.0,7.25,xgboost
India,E_coli_COL,2028,0.78,0.0,7.25,xgboost
India,K_pneumoniae_COL,2028,0.78,0.0,7.25,xgboost
India,Klebsiella_spp_COL,2028,0.78,0.0,7.25,xgboost
India,P_aeruginosa_COL,2028,0.78,0.0,7.25,xgboost
India,Pseudomonas_spp_COL,2028,0.78,0.0,7.25,xgboost
India,A_baumannii_COL,2029,0.78,0.0,7.25,xgboost
India,E_coli_COL,2029,0.78,0.0,7.25,xgboost
India,K_pneumoniae_COL,2029,0.78,0.0,7.25,xgboost
India,Klebsiella_spp_COL,2029,0.78,0.0,7.25,xgboost
India,P_aeruginosa_COL,2029,0.78,0.0,7.25,xgboost
India,Pseudomonas_spp_COL,2029,0.78,0.0,7.25,xgboost
India,A_baumannii_COL,2030,0.78,0.0,7.25,xgboost
India,E_coli_COL,2030,0.78,0.0,7.25,xgboost
India,K_pneumoniae_COL,2030,0.78,0.0,7.25,xgboost
India,Klebsiella_spp_COL,2030,0.78,0.0,7.25,xgboost
India,P_aeruginosa_COL,2030,0.78,0.0,7.25,xgboost
India,Pseudomonas_spp_COL,2030,0.78,0.0,7.25,xgboost
India,A_baumannii_COL,2022,0.0,,,xgboost_fitted
India,A_baumannii_COL,2023,,,,xgboost_fitted
India,E_coli_COL,2022,2.2058823529411766,,,xgboost_fitted
India,E_coli_COL,2023,1.3605442176870748,,,xgboost_fitted
India,K_pneumoniae_COL,2022,7.2727272727272725,,,xgboost_fitted
India,K_pneumoniae_COL,2023,0.0,,,xgboost_fitted
India,Klebsiella_spp_COL,2022,10.526315789473683,,,xgboost_fitted
India,Klebsiella_spp_COL,2023,8.333333333333332,,,xgboost_fitted
India,P_aeruginosa_COL,2022,9.523809523809524,,,xgboost_fitted
India,P_aeruginosa_COL,2023,0.0,,,xgboost_fitted
India,Pseudomonas_spp_COL,2022,,,,xgboost_fitted
India,Pseudomonas_spp_COL,2023,0.0,,,xgboost_fitted
