country,combo,year,pathogen,drug,resistance_pct,n_isolates,source_files,total_DDD,watch_proportion,gdp_per_capita,health_expenditure,sanitation,physicians,hospital_beds,urbanisation,agricultural_land,gini,water_access,income_group,region
India,A_baumannii_COL,2022,A_baumannii,COL,0.0,28.0,GASAR Study III (n=494)_updated.csv,19.7,0.4218,2347.44829434623,3.39623499,58.579834910144,0.7,0.5,34.7555673994206,60.0555856504293,25.5,94.4191311935781,LMI,South/SE Asia
India,A_baumannii_COL,2023,A_baumannii,COL,,,,19.77,0.4109,2530.12031278204,3.33944035,60.7767067943276,0.723,0.506,35.0676918424186,60.0604064994165,35.723,95.0740565981493,LMI,South/SE Asia
India,A_baumannii_COL,2024,A_baumannii,COL,,,,19.6,0.4347,2393.628,3.027,64.759,0.699,0.51,35.157,60.0604064994165,35.869,93.638,LMI,South/SE Asia
India,A_baumannii_COL,2025,A_baumannii,COL,,,,20.81,0.4321,2690.936,2.909,63.942,0.776,0.507,35.379,60.0604064994165,36.111,94.473,LMI,South/SE Asia
India,A_baumannii_COL,2026,A_baumannii,COL,,,,20.89,0.4473,2634.679,2.983,67.608,0.763,0.475,36.162,60.0604064994165,36.108,95.041,LMI,South/SE Asia
India,A_baumannii_COL,2027,A_baumannii,COL,,,,21.98,0.4388,2558.633,3.308,64.083,0.82,0.515,37.24,60.0604064994165,35.178,95.391,LMI,South/SE Asia
India,A_baumannii_COL,2028,A_baumannii,COL,,,,21.78,0.4414,3222.574,3.032,65.573,0.699,0.524,36.592,60.0604064994165,35.177,95.276,LMI,South/SE Asia
India,A_baumannii_COL,2029,A_baumannii,COL,,,,22.08,0.4503,2529.634,2.996,61.527,0.628,0.487,36.128,60.0604064994165,37.383,95.507,LMI,South/SE Asia
India,A_baumannii_COL,2030,A_baumannii,COL,,,,22.55,0.4609,2987.309,3.21,62.476,0.752,0.478,35.318,60.0604064994165,38.408,99.549,LMI,South/SE Asia
India,E_coli_COL,2022,E_coli,COL,2.2058823529411766,136.0,GASAR Study III (n=494)_updated.csv,19.7,0.4218,2347.44829434623,3.39623499,58.579834910144,0.7,0.5,34.7555673994206,60.0555856504293,25.5,94.4191311935781,LMI,South/SE Asia
India,E_coli_COL,2023,E_coli,COL,1.3605442176870748,147.0,GASAR Study III (n=494)_updated.csv,19.77,0.4109,2530.12031278204,3.33944035,60.7767067943276,0.723,0.506,35.0676918424186,60.0604064994165,35.723,95.0740565981493,LMI,South/SE Asia
India,E_coli_COL,2024,E_coli,COL,,,,19.6,0.4347,2393.628,3.027,64.759,0.699,0.51,35.157,60.0604064994165,35.869,93.638,LMI,South/SE Asia
India,E_coli_COL,2025,E_coli,COL,,,,20.81,0.4321,2690.936,2.909,63.942,0.776,0.507,35.379,60.0604064994165,36.111,94.473,LMI,South/SE Asia
India,E_coli_COL,2026,E_coli,COL,,,,20.89,0.4473,2634.679,2.983,67.608,0.763,0.475,36.162,60.0604064994165,36.108,95.041,LMI,South/SE Asia
India,E_coli_COL,2027,E_coli,COL,,,,21.98,0.4388,2558.633,3.308,64.083,0.82,0.515,37.24,60.0604064994165,35.178,95.391,LMI,South/SE Asia
India,E_coli_COL,2028,E_coli,COL,,,,21.78,0.4414,3222.574,3.032,65.573,0.699,0.524,36.592,60.0604064994165,35.177,95.276,LMI,South/SE Asia
India,E_coli_COL,2029,E_coli,COL,,,,22.08,0.4503,2529.634,2.996,61.527,0.628,0.487,36.128,60.0604064994165,37.383,95.507,LMI,South/SE Asia
India,E_coli_COL,2030,E_coli,COL,,,,22.55,0.4609,2987.309,3.21,62.476,0.752,0.478,35.318,60.0604064994165,38.408,99.549,LMI,South/SE Asia
India,K_pneumoniae_COL,2022,K_pneumoniae,COL,7.2727272727272725,55.0,GASAR Study III (n=494)_updated.csv,19.7,0.4218,2347.44829434623,3.39623499,58.579834910144,0.7,0.5,34.7555673994206,60.0555856504293,25.5,94.4191311935781,LMI,South/SE Asia
