country,combo,year,rf_forecast
India,A_baumannii_COL,2024,2.39
India,E_coli_COL,2024,2.39
India,K_pneumoniae_COL,2024,2.39
India,Klebsiella_spp_COL,2024,2.39
India,P_aeruginosa_COL,2024,2.39
India,Pseudomonas_spp_COL,2024,2.39
India,A_baumannii_COL,2025,2.39
India,E_coli_COL,2025,2.39
India,K_pneumoniae_COL,2025,2.39
India,Klebsiella_spp_COL,2025,2.39
India,P_aeruginosa_COL,2025,2.39
India,Pseudomonas_spp_COL,2025,2.39
India,A_baumannii_COL,2026,2.39
India,E_coli_COL,2026,2.39
India,K_pneumoniae_COL,2026,2.39
India,Klebsiella_spp_COL,2026,2.39
India,P_aeruginosa_COL,2026,2.39
India,Pseudomonas_spp_COL,2026,2.39
India,A_baumannii_COL,2027,2.39
India,E_coli_COL,2027,2.39
India,K_pneumoniae_COL,2027,2.39
India,Klebsiella_spp_COL,2027,2.39
India,P_aeruginosa_COL,2027,2.39
India,Pseudomonas_spp_COL,2027,2.39
India,A_baumannii_COL,2028,2.39
India,E_coli_COL,2028,2.39
India,K_pneumoniae_COL,2028,2.39
India,Klebsiella_spp_COL,2028,2.39
India,P_aeruginosa_COL,2028,2.39
India,Pseudomonas_spp_COL,2028,2.39
India,A_baumannii_COL,2029,2.39
India,E_coli_COL,2029,2.39
India,K_pneumoniae_COL,2029,2.39
India,Klebsiella_spp_COL,2029,2.39
India,P_aeruginosa_COL,2029,2.39
India,Pseudomonas_spp_COL,2029,2.39
India,A_baumannii_COL,2030,2.39
India,E_coli_COL,2030,2.39
India,K_pneumoniae_COL,2030,2.39
India,Klebsiella_spp_COL,2030,2.39
India,P_aeruginosa_COL,2030,2.39
India,Pseudomonas_spp_COL,2030,2.39
