country,risk_score_2030,risk_tier,region,income_group,top_interventions
Brazil,43.100967741935484,Medium,Latin America,UMI,"Strengthen AMR surveillance network and data quality
Promote AWaRe-compliant formularies in primary care
Community awareness campaigns on antibiotic resistance"
Thailand,42.46951612903226,Medium,Unknown,Unknown,"Strengthen AMR surveillance network and data quality
Promote AWaRe-compliant formularies in primary care
Community awareness campaigns on antibiotic resistance"
Russia,38.70161290322581,Medium,Unknown,Unknown,"Strengthen AMR surveillance network and data quality
Promote AWaRe-compliant formularies in primary care
Community awareness campaigns on antibiotic resistance"
Taiwan,36.09467741935484,Medium,Unknown,Unknown,"Strengthen AMR surveillance network and data quality
Promote AWaRe-compliant formularies in primary care
Community awareness campaigns on antibiotic resistance"
South Africa,35.561290322580646,Medium,Sub-Saharan Africa,UMI,"Strengthen AMR surveillance network and data quality
Promote AWaRe-compliant formularies in primary care
Community awareness campaigns on antibiotic resistance"
Latvia,34.8514,Medium,Unknown,Unknown,"Strengthen AMR surveillance network and data quality
Promote AWaRe-compliant formularies in primary care
Community awareness campaigns on antibiotic resistance"
Nigeria,33.42781818181818,Medium,Sub-Saharan Africa,LMI,"Strengthen AMR surveillance network and data quality
Promote AWaRe-compliant formularies in primary care
Community awareness campaigns on antibiotic resistance"
Romania,29.112000000000002,Medium,Unknown,Unknown,"Strengthen AMR surveillance network and data quality
Promote AWaRe-compliant formularies in primary care
Community awareness campaigns on antibiotic resistance"
Morocco,27.46758064516129,Medium,Unknown,Unknown,"Strengthen AMR surveillance network and data quality
Promote AWaRe-compliant formularies in primary care
Community awareness campaigns on antibiotic resistance"
Turkey,27.31381818181818,Medium,Unknown,Unknown,"Strengthen AMR surveillance network and data quality
Promote AWaRe-compliant formularies in primary care
Community awareness campaigns on antibiotic resistance"
Puerto Rico,27.27529411764706,Medium,Unknown,Unknown,"Strengthen AMR surveillance network and data quality
Promote AWaRe-compliant formularies in primary care
Community awareness campaigns on antibiotic resistance"
Hungary,26.98818181818182,Medium,Unknown,Unknown,"Strengthen AMR surveillance network and data quality
Promote AWaRe-compliant formularies in primary care
Community awareness campaigns on antibiotic resistance"
Argentina,26.638870967741934,Medium,Unknown,Unknown,"Strengthen AMR surveillance network and data quality
Promote AWaRe-compliant formularies in primary care
Community awareness campaigns on antibiotic resistance"
Singapore,26.320666666666668,Medium,Unknown,Unknown,"Strengthen AMR surveillance network and data quality
Promote AWaRe-compliant formularies in primary care
Community awareness campaigns on antibiotic resistance"
Ecuador,25.62590909090909,Medium,Unknown,Unknown,"Strengthen AMR surveillance network and data quality
Promote AWaRe-compliant formularies in primary care
Community awareness campaigns on antibiotic resistance"
Mexico,25.62014925373134,Medium,Latin America,UMI,"Strengthen AMR surveillance network and data quality
Promote AWaRe-compliant formularies in primary care
Community awareness campaigns on antibiotic resistance"
Chile,25.593064516129033,Medium,Unknown,Unknown,"Strengthen AMR surveillance network and data quality
Promote AWaRe-compliant formularies in primary care
Community awareness campaigns on antibiotic resistance"
Malaysia,24.980877192982458,Low,Unknown,Unknown,"Maintain existing stewardship programmes and monitoring
Continue AMR surveillance reporting to WHO GLASS
Sustain environmental sanitation and WASH standards"
Philippines,24.294838709677418,Low,Unknown,Unknown,"Maintain existing stewardship programmes and monitoring
Continue AMR surveillance reporting to WHO GLASS
Sustain environmental sanitation and WASH standards"
Venezuela,23.798333333333332,Low,Unknown,Unknown,"Maintain existing stewardship programmes and monitoring
Continue AMR surveillance reporting to WHO GLASS
Sustain environmental sanitation and WASH standards"
Canada,22.91910447761194,Low,Unknown,Unknown,"Maintain existing stewardship programmes and monitoring
Continue AMR surveillance reporting to WHO GLASS
Sustain environmental sanitation and WASH standards"
Cameroon,22.816,Low,Unknown,Unknown,"Maintain existing stewardship programmes and monitoring
Continue AMR surveillance reporting to WHO GLASS
Sustain environmental sanitation and WASH standards"
India,22.528358208955225,Low,South/SE Asia,LMI,"Maintain existing stewardship programmes and monitoring
Continue AMR surveillance reporting to WHO GLASS
Sustain environmental sanitation and WASH standards"
Israel,22.412333333333333,Low,Unknown,Unknown,"Maintain existing stewardship programmes and monitoring
Continue AMR surveillance reporting to WHO GLASS
Sustain environmental sanitation and WASH standards"
Lithuania,22.317272727272726,Low,Unknown,Unknown,"Maintain existing stewardship programmes and monitoring
Continue AMR surveillance reporting to WHO GLASS
Sustain environmental sanitation and WASH standards"
Colombia,21.931194029850747,Low,Unknown,Unknown,"Maintain existing stewardship programmes and monitoring
Continue AMR surveillance reporting to WHO GLASS
Sustain environmental sanitation and WASH standards"
Greece,21.440727272727273,Low,Unknown,Unknown,"Maintain existing stewardship programmes and monitoring
Continue AMR surveillance reporting to WHO GLASS
Sustain environmental sanitation and WASH standards"
Guatemala,20.311774193548384,Low,Unknown,Unknown,"Maintain existing stewardship programmes and monitoring
Continue AMR surveillance reporting to WHO GLASS
Sustain environmental sanitation and WASH standards"
United States,19.795972222222222,Low,North America,HI,"Maintain existing stewardship programmes and monitoring
Continue AMR surveillance reporting to WHO GLASS
Sustain environmental sanitation and WASH standards"
"Korea, South",19.712388059701492,Low,Unknown,Unknown,"Maintain existing stewardship programmes and monitoring
Continue AMR surveillance reporting to WHO GLASS
Sustain environmental sanitation and WASH standards"
Vietnam,18.162499999999998,Low,Unknown,Unknown,"Maintain existing stewardship programmes and monitoring
Continue AMR surveillance reporting to WHO GLASS
Sustain environmental sanitation and WASH standards"
Croatia,16.970833333333335,Low,Unknown,Unknown,"Maintain existing stewardship programmes and monitoring
Continue AMR surveillance reporting to WHO GLASS
Sustain environmental sanitation and WASH standards"
Panama,16.861290322580647,Low,Unknown,Unknown,"Maintain existing stewardship programmes and monitoring
Continue AMR surveillance reporting to WHO GLASS
Sustain environmental sanitation and WASH standards"
Ukraine,16.490727272727273,Low,Unknown,Unknown,"Maintain existing stewardship programmes and monitoring
Continue AMR surveillance reporting to WHO GLASS
Sustain environmental sanitation and WASH standards"
Saudi Arabia,15.9014,Low,Unknown,Unknown,"Maintain existing stewardship programmes and monitoring
Continue AMR surveillance reporting to WHO GLASS
Sustain environmental sanitation and WASH standards"
Dominican Republic,15.8392,Low,Unknown,Unknown,"Maintain existing stewardship programmes and monitoring
Continue AMR surveillance reporting to WHO GLASS
Sustain environmental sanitation and WASH standards"
Costa Rica,15.142000000000001,Low,Unknown,Unknown,"Maintain existing stewardship programmes and monitoring
Continue AMR surveillance reporting to WHO GLASS
Sustain environmental sanitation and WASH standards"
France,14.567666666666666,Low,Western Europe,HI,"Maintain existing stewardship programmes and monitoring
Continue AMR surveillance reporting to WHO GLASS
Sustain environmental sanitation and WASH standards"
Italy,14.061492537313432,Low,Unknown,Unknown,"Maintain existing stewardship programmes and monitoring
Continue AMR surveillance reporting to WHO GLASS
Sustain environmental sanitation and WASH standards"
Germany,13.934029850746269,Low,Western Europe,HI,"Maintain existing stewardship programmes and monitoring
Continue AMR surveillance reporting to WHO GLASS
Sustain environmental sanitation and WASH standards"
Slovenia,12.970526315789474,Low,Unknown,Unknown,"Maintain existing stewardship programmes and monitoring
Continue AMR surveillance reporting to WHO GLASS
Sustain environmental sanitation and WASH standards"
Hong Kong,12.810384615384615,Low,Unknown,Unknown,"Maintain existing stewardship programmes and monitoring
Continue AMR surveillance reporting to WHO GLASS
Sustain environmental sanitation and WASH standards"
Japan,12.644328358208956,Low,Unknown,Unknown,"Maintain existing stewardship programmes and monitoring
Continue AMR surveillance reporting to WHO GLASS
Sustain environmental sanitation and WASH standards"
Ireland,12.556166666666666,Low,Unknown,Unknown,"Maintain existing stewardship programmes and monitoring
Continue AMR surveillance reporting to WHO GLASS
Sustain environmental sanitation and WASH standards"
Czech Republic,12.514925373134329,Low,Unknown,Unknown,"Maintain existing stewardship programmes and monitoring
Continue AMR surveillance reporting to WHO GLASS
Sustain environmental sanitation and WASH standards"
Australia,11.764626865671643,Low,Unknown,Unknown,"Maintain existing stewardship programmes and monitoring
Continue AMR surveillance reporting to WHO GLASS
Sustain environmental sanitation and WASH standards"
United Kingdom,11.7355,Low,Western Europe,HI,"Maintain existing stewardship programmes and monitoring
Continue AMR surveillance reporting to WHO GLASS
Sustain environmental sanitation and WASH standards"
Portugal,10.7275,Low,Unknown,Unknown,"Maintain existing stewardship programmes and monitoring
Continue AMR surveillance reporting to WHO GLASS
Sustain environmental sanitation and WASH standards"
Spain,10.466129032258063,Low,Unknown,Unknown,"Maintain existing stewardship programmes and monitoring
Continue AMR surveillance reporting to WHO GLASS
Sustain environmental sanitation and WASH standards"
Netherlands,10.260545454545452,Low,Unknown,Unknown,"Maintain existing stewardship programmes and monitoring
Continue AMR surveillance reporting to WHO GLASS
Sustain environmental sanitation and WASH standards"
New Zealand,10.078245614035088,Low,Unknown,Unknown,"Maintain existing stewardship programmes and monitoring
Continue AMR surveillance reporting to WHO GLASS
Sustain environmental sanitation and WASH standards"
Qatar,9.728571428571428,Low,Unknown,Unknown,"Maintain existing stewardship programmes and monitoring
Continue AMR surveillance reporting to WHO GLASS
Sustain environmental sanitation and WASH standards"
Switzerland,9.311666666666667,Low,Unknown,Unknown,"Maintain existing stewardship programmes and monitoring
Continue AMR surveillance reporting to WHO GLASS
Sustain environmental sanitation and WASH standards"
Poland,9.092,Low,Unknown,Unknown,"Maintain existing stewardship programmes and monitoring
Continue AMR surveillance reporting to WHO GLASS
Sustain environmental sanitation and WASH standards"
Belgium,9.072909090909091,Low,Unknown,Unknown,"Maintain existing stewardship programmes and monitoring
Continue AMR surveillance reporting to WHO GLASS
Sustain environmental sanitation and WASH standards"
Sweden,8.395818181818182,Low,Unknown,Unknown,"Maintain existing stewardship programmes and monitoring
Continue AMR surveillance reporting to WHO GLASS
Sustain environmental sanitation and WASH standards"
Kuwait,6.966,Low,Unknown,Unknown,"Maintain existing stewardship programmes and monitoring
Continue AMR surveillance reporting to WHO GLASS
Sustain environmental sanitation and WASH standards"
Denmark,5.4523636363636365,Low,Unknown,Unknown,"Maintain existing stewardship programmes and monitoring
Continue AMR surveillance reporting to WHO GLASS
Sustain environmental sanitation and WASH standards"
Finland,3.0618,Low,Unknown,Unknown,"Maintain existing stewardship programmes and monitoring
Continue AMR surveillance reporting to WHO GLASS
Sustain environmental sanitation and WASH standards"
