feature,importance
delta_resistance,0.6339979983104389
lag1_resistance,0.2614701144188808
rolling3_mean_resistance,0.06659875560195529
lag2_resistance,0.018237291737313647
lag3_resistance,0.016526828537114152
lag1_total_DDD,0.0006647722826671717
water_access,0.00034440619492604786
gini,0.0003223510701006453
lag1_watch_proportion,0.00027253934274568977
health_expenditure,0.00025900314475450867
gdp_per_capita,0.0002572953580245609
urbanisation,0.00025303888443405987
physicians,0.00023169585064627664
sanitation,0.00022204797674824843
antibiotic_pressure_index,0.00019453340070571746
ses_risk_score,0.000147327888544402
