feature,importance
rolling3_mean_resistance,0.35886309587351306
delta_resistance,0.1366640897863872
lag1_resistance,0.118983248585807
lag3_resistance,0.06537507585988131
gdp_per_capita,0.06494944715579878
sanitation,0.03995927984276495
antibiotic_pressure_index,0.03697233439520856
lag2_resistance,0.035594660943207936
ses_risk_score,0.034721303788411796
lag1_total_DDD,0.024387497455652492
physicians,0.021547626632526847
country_enc,0.015612004993601651
lag1_watch_proportion,0.013927949139914358
year_norm,0.011867063740868992
pathogen_enc,0.01154093431204408
drug_enc,0.009034387494410956
