country,combo,year,rf_forecast
Argentina,C_freundii_3GC,2024,0.0
Argentina,C_freundii_AMG,2024,97.1
Argentina,C_freundii_AMP,2024,0.0
Argentina,C_freundii_CARB,2024,0.0
Argentina,C_freundii_FQ,2024,0.0
Argentina,E_aerogenes_3GC,2024,0.0
Argentina,E_aerogenes_AMG,2024,0.0
Argentina,E_aerogenes_AMP,2024,0.0
Argentina,E_aerogenes_CARB,2024,0.0
Argentina,E_aerogenes_FQ,2024,0.0
Argentina,E_cloacae_3GC,2024,0.17
Argentina,E_cloacae_AMG,2024,0.0
Argentina,E_cloacae_AMP,2024,49.87
Argentina,E_cloacae_CARB,2024,0.0
Argentina,E_cloacae_FQ,2024,0.0
Argentina,E_coli_3GC,2024,0.0
Argentina,E_coli_AMG,2024,19.96
Argentina,E_coli_AMP,2024,0.0
Argentina,E_coli_CARB,2024,0.0
Argentina,E_coli_FQ,2024,9.7
Argentina,K_pneumoniae_3GC,2024,49.98
Argentina,K_pneumoniae_AMG,2024,16.03
Argentina,K_pneumoniae_AMP,2024,49.98
Argentina,K_pneumoniae_CARB,2024,24.73
Argentina,K_pneumoniae_FQ,2024,49.98
Argentina,Klebsiella_oxytoca_3GC,2024,49.74
Argentina,Klebsiella_oxytoca_AMG,2024,97.1
Argentina,Klebsiella_oxytoca_AMP,2024,0.0
Argentina,Klebsiella_oxytoca_CARB,2024,0.0
Argentina,Klebsiella_oxytoca_FQ,2024,0.0
Argentina,M_morganii_3GC,2024,0.0
Argentina,M_morganii_AMG,2024,99.74
Argentina,M_morganii_AMP,2024,0.0
Argentina,M_morganii_CARB,2024,0.0
Argentina,M_morganii_FQ,2024,99.74
Argentina,P_aeruginosa_3GC,2024,11.46
Argentina,P_aeruginosa_AMG,2024,9.44
Argentina,P_aeruginosa_AMP,2024,21.0
Argentina,P_aeruginosa_CARB,2024,16.54
Argentina,P_aeruginosa_FQ,2024,17.17
Argentina,P_mirabilis_3GC,2024,33.27
Argentina,P_mirabilis_AMG,2024,0.0
Argentina,P_mirabilis_AMP,2024,0.0
Argentina,P_mirabilis_CARB,2024,0.0
Argentina,P_mirabilis_FQ,2024,0.0
Argentina,Providencia_spp_3GC,2024,0.84
Argentina,Providencia_spp_AMG,2024,87.21
Argentina,Providencia_spp_AMP,2024,87.26
Argentina,Providencia_spp_CARB,2024,0.0
Argentina,Providencia_spp_FQ,2024,99.72
Argentina,S_maltophilia_3GC,2024,38.3
Argentina,S_maltophilia_AMP,2024,96.95
Argentina,S_maltophilia_COL,2024,0.1
Argentina,S_maltophilia_FQ,2024,24.99
Argentina,S_maltophilia_OTHER,2024,92.24
Argentina,S_maltophilia_TET,2024,0.0
Argentina,S_maltophilia_TMP_SMX,2024,0.0
Argentina,S_marcescens_3GC,2024,99.97
Argentina,S_marcescens_AMG,2024,0.0
Argentina,S_marcescens_AMP,2024,99.97
Argentina,S_marcescens_CARB,2024,99.97
Argentina,S_marcescens_FQ,2024,99.97
Australia,C_freundii_3GC,2024,0.0
Australia,C_freundii_AMG,2024,0.0
Australia,C_freundii_AMP,2024,0.0
Australia,C_freundii_CARB,2024,0.0
Australia,C_freundii_FQ,2024,0.0
Australia,E_aerogenes_3GC,2024,0.0
Australia,E_aerogenes_AMG,2024,0.0
Australia,E_aerogenes_AMP,2024,0.0
Australia,E_aerogenes_CARB,2024,0.0
Australia,E_aerogenes_FQ,2024,0.0
Australia,E_cloacae_3GC,2024,0.0
Australia,E_cloacae_AMG,2024,0.0
Australia,E_cloacae_AMP,2024,0.0
Australia,E_cloacae_CARB,2024,0.0
Australia,E_cloacae_FQ,2024,0.0
Australia,E_coli_3GC,2024,9.83
Australia,E_coli_AMG,2024,33.41
Australia,E_coli_AMP,2024,0.0
Australia,E_coli_CARB,2024,0.0
Australia,E_coli_FQ,2024,24.09
Australia,K_pneumoniae_3GC,2024,11.55
Australia,K_pneumoniae_AMG,2024,0.0
Australia,K_pneumoniae_AMP,2024,21.79
Australia,K_pneumoniae_CARB,2024,0.0
Australia,K_pneumoniae_FQ,2024,0.0
Australia,Klebsiella_oxytoca_3GC,2024,19.47
Australia,Klebsiella_oxytoca_AMG,2024,0.0
Australia,Klebsiella_oxytoca_AMP,2024,75.76
Australia,Klebsiella_oxytoca_CARB,2024,0.0
Australia,Klebsiella_oxytoca_FQ,2024,39.66
Australia,M_morganii_3GC,2024,0.0
Australia,M_morganii_AMG,2024,0.0
Australia,M_morganii_AMP,2024,0.0
Australia,M_morganii_CARB,2024,0.0
Australia,M_morganii_FQ,2024,0.0
Australia,P_aeruginosa_3GC,2024,3.06
Australia,P_aeruginosa_AMG,2024,0.0
Australia,P_aeruginosa_AMP,2024,19.74
Australia,P_aeruginosa_CARB,2024,3.35
Australia,P_aeruginosa_FQ,2024,0.03
Australia,P_mirabilis_3GC,2024,0.0
Australia,P_mirabilis_AMG,2024,0.0
Australia,P_mirabilis_AMP,2024,0.0
Australia,P_mirabilis_CARB,2024,0.0
Australia,P_mirabilis_FQ,2024,0.0
Australia,Providencia_spp_3GC,2024,0.0
Australia,Providencia_spp_AMG,2024,0.0
Australia,Providencia_spp_AMP,2024,0.0
Australia,Providencia_spp_CARB,2024,0.0
Australia,Providencia_spp_FQ,2024,0.0
Australia,S_aureus_3GC,2024,11.99
Australia,S_aureus_AMG,2024,0.0
Australia,S_aureus_AMP,2024,0.0
Australia,S_aureus_CARB,2024,0.0
Australia,S_aureus_FQ,2024,0.0
Australia,S_maltophilia_3GC,2024,98.53
Australia,S_maltophilia_AMP,2024,98.56
Australia,S_maltophilia_COL,2024,4.92
Australia,S_maltophilia_FQ,2024,9.48
Australia,S_maltophilia_OTHER,2024,15.12
Australia,S_maltophilia_TET,2024,0.0
Australia,S_maltophilia_TMP_SMX,2024,0.0
Australia,S_marcescens_3GC,2024,0.0
Australia,S_marcescens_AMG,2024,0.0
Australia,S_marcescens_AMP,2024,0.0
Australia,S_marcescens_CARB,2024,0.0
Australia,S_marcescens_FQ,2024,0.0
Belgium,C_freundii_3GC,2024,3.09
Belgium,C_freundii_AMG,2024,0.0
Belgium,C_freundii_AMP,2024,4.9
Belgium,C_freundii_CARB,2024,0.0
Belgium,C_freundii_FQ,2024,0.0
Belgium,E_aerogenes_3GC,2024,12.94
Belgium,E_aerogenes_AMG,2024,0.0
Belgium,E_aerogenes_AMP,2024,26.02
Belgium,E_aerogenes_CARB,2024,0.0
Belgium,E_aerogenes_FQ,2024,65.39
Belgium,E_cloacae_3GC,2024,3.87
Belgium,E_cloacae_AMG,2024,0.0
Belgium,E_cloacae_AMP,2024,0.57
Belgium,E_cloacae_CARB,2024,0.0
Belgium,E_cloacae_FQ,2024,29.73
Belgium,E_coli_3GC,2024,25.45
Belgium,E_coli_AMG,2024,7.98
Belgium,E_coli_AMP,2024,22.05
Belgium,E_coli_CARB,2024,0.0
Belgium,E_coli_FQ,2024,26.47
Belgium,K_pneumoniae_3GC,2024,15.54
Belgium,K_pneumoniae_AMG,2024,0.55
Belgium,K_pneumoniae_AMP,2024,7.77
Belgium,K_pneumoniae_CARB,2024,0.0
Belgium,K_pneumoniae_FQ,2024,0.03
Belgium,Klebsiella_oxytoca_3GC,2024,0.0
Belgium,Klebsiella_oxytoca_AMG,2024,0.0
Belgium,Klebsiella_oxytoca_AMP,2024,0.0
Belgium,Klebsiella_oxytoca_CARB,2024,0.0
Belgium,Klebsiella_oxytoca_FQ,2024,0.0
Belgium,M_morganii_3GC,2024,0.0
Belgium,M_morganii_AMG,2024,0.0
Belgium,M_morganii_AMP,2024,0.0
Belgium,M_morganii_CARB,2024,0.0
Belgium,M_morganii_FQ,2024,0.0
Belgium,P_aeruginosa_3GC,2024,0.22
Belgium,P_aeruginosa_AMG,2024,0.02
Belgium,P_aeruginosa_AMP,2024,12.09
Belgium,P_aeruginosa_CARB,2024,0.03
