feature,coefficient
delta_resistance,24.12800663978873
lag1_resistance,23.944042274752835
rolling3_mean_resistance,0.1549446746655335
lag3_resistance,-0.05310023823570698
lag2_resistance,-0.04189628366963594
ses_risk_score,0.006823039570398284
sanitation,0.0028745576561977557
physicians,0.002229800928097184
health_expenditure,0.0017121961792562266
antibiotic_pressure_index,0.001422268797877559
lag1_watch_proportion,-0.0008788351597737921
gdp_per_capita,0.0006106483979860497
lag1_total_DDD,-0.0005534038271369494
water_access,-0.00016419141338675316
urbanisation,0.00014902141352647757
gini,-4.8855065687239555e-05
