country,year,total_DDD,watch_proportion,ses_risk_score,antibiotic_pressure_index
Argentina,2016,12.7,0.3058,0.2904178362948008,3.88366
Argentina,2017,12.57,0.2929,0.22485576877325986,3.681753
Argentina,2018,12.2,0.3147,0.22980070597210622,3.8393399999999995
Argentina,2019,13.21,0.3101,0.23085209421347158,4.096421
Argentina,2020,13.09,0.3233,0.23524705112232577,4.231997
Argentina,2021,13.98,0.3128,0.21986767210901165,4.372944
Argentina,2022,13.58,0.3134,0.22032282095159028,4.255972
Argentina,2023,13.68,0.3203,0.21962871639753823,4.381703999999999
Argentina,2024,13.95,0.3289,0.3970940440608485,4.588155
Argentina,2025,14.26,0.3225,0.3913144776997374,4.59885
Argentina,2026,15.21,0.3217,0.39384727276280523,4.893057
Argentina,2027,14.17,0.3357,0.3922580317876169,4.756869
Argentina,2028,14.17,0.3376,0.3885464841527929,4.783792
Argentina,2029,15.59,0.3387,0.40162348072085413,5.280333
Argentina,2030,15.4,0.3205,0.39558147403821187,4.935700000000001
Australia,2016,12.82,0.303,0.18962211511117721,3.88446
Australia,2017,12.33,0.3211,0.18289909538972177,3.9591629999999998
Australia,2018,12.51,0.2882,0.1782853499436986,3.605382
Australia,2019,12.48,0.3083,0.17433880264554658,3.8475840000000003
Australia,2020,13.54,0.3154,0.16798073483198198,4.270516
Australia,2021,13.47,0.3059,0.16165044638464243,4.1204730000000005
Australia,2022,14.14,0.308,0.1611431412285609,4.35512
Australia,2023,13.52,0.334,0.2577201583512648,4.51568
Australia,2024,14.27,0.3277,0.40067287747699093,4.676279
Australia,2025,14.65,0.3203,0.39833075044149135,4.692394999999999
Australia,2026,14.39,0.3354,0.3777499963948687,4.8264059999999995
Australia,2027,14.55,0.3354,0.40140266915026546,4.88007
Australia,2028,14.96,0.3231,0.3797130536422654,4.833576
Australia,2029,15.59,0.3251,0.37436907847941125,5.068309
Australia,2030,15.49,0.3417,0.35696251020652514,5.2929330000000006
Belgium,2016,13.11,0.2878,0.42147214752419904,3.773058
Belgium,2017,12.58,0.301,0.41221799530190156,3.78658
Belgium,2018,13.07,0.3137,0.41479264841155183,4.100059
Belgium,2019,13.32,0.3082,0.4078402697836797,4.105224
Belgium,2020,13.81,0.332,0.39952182551176574,4.58492
Belgium,2021,13.06,0.3139,0.4024820751964982,4.099534
Belgium,2022,14.1,0.3179,0.39973512503893727,4.4823900000000005
Belgium,2023,14.57,0.3167,0.3972571054819883,4.614319
Belgium,2024,13.79,0.3317,0.3938801126296889,4.574142999999999
Belgium,2025,13.29,0.3212,0.3963550253094121,4.2687479999999995
Belgium,2026,15.55,0.3293,0.3936418538511731,5.120615
Belgium,2027,14.94,0.3225,0.4025146338254081,4.81815
Belgium,2028,14.99,0.3336,0.39014722217994025,5.000664
Belgium,2029,15.94,0.3279,0.39421439706568606,5.226726
Belgium,2030,14.3,0.3451,0.3811972115810801,4.9349300000000005
Brazil,2016,15.22,0.3121,0.40335326055366993,4.750162
Brazil,2017,14.07,0.3113,0.4149808874627759,4.379991
Brazil,2018,15.17,0.3194,0.4226666966420731,4.8452980000000005
Brazil,2019,15.22,0.3044,0.4058666567837185,4.632968
Brazil,2020,15.19,0.3389,0.41309488272526634,5.1478909999999996
Brazil,2021,15.49,0.3238,0.4115650596794572,5.015662
Brazil,2022,16.22,0.3469,0.402948142505007,5.626717999999999
Brazil,2023,15.81,0.3326,0.3916740193120827,5.258406
Brazil,2024,16.71,0.3375,0.31037439796526256,5.6396250000000006
Brazil,2025,16.33,0.364,0.29247834756564267,5.944119999999999
Brazil,2026,16.67,0.344,0.2987077444113811,5.7344800000000005
Brazil,2027,16.01,0.3524,0.2876391541051768,5.641924
Brazil,2028,16.97,0.3488,0.25732108198143355,5.919136
Brazil,2029,17.57,0.3451,0.2762133953832608,6.063407000000001
