country,risk_score_2030,risk_tier,region,income_group,top_interventions
Greece,86.49333333333334,Critical,Unknown,Unknown,"URGENT: Declare national AMR emergency and activate crisis response plan
Immediately restrict OTC antibiotic sales -- mandatory prescription required
Deploy WHO-supported antimicrobial stewardship programmes in all hospitals"
Guatemala,82.90166666666666,Critical,Unknown,Unknown,"URGENT: Declare national AMR emergency and activate crisis response plan
Immediately restrict OTC antibiotic sales -- mandatory prescription required
Deploy WHO-supported antimicrobial stewardship programmes in all hospitals"
Vietnam,81.51833333333333,Critical,Unknown,Unknown,"URGENT: Declare national AMR emergency and activate crisis response plan
Immediately restrict OTC antibiotic sales -- mandatory prescription required
Deploy WHO-supported antimicrobial stewardship programmes in all hospitals"
Thailand,81.46,Critical,Unknown,Unknown,"URGENT: Declare national AMR emergency and activate crisis response plan
Immediately restrict OTC antibiotic sales -- mandatory prescription required
Deploy WHO-supported antimicrobial stewardship programmes in all hospitals"
Brazil,81.175,Critical,Latin America,UMI,"URGENT: Declare national AMR emergency and activate crisis response plan
Immediately restrict OTC antibiotic sales -- mandatory prescription required
Deploy WHO-supported antimicrobial stewardship programmes in all hospitals"
Russia,80.90166666666666,Critical,Unknown,Unknown,"URGENT: Declare national AMR emergency and activate crisis response plan
Immediately restrict OTC antibiotic sales -- mandatory prescription required
Deploy WHO-supported antimicrobial stewardship programmes in all hospitals"
Croatia,80.78166666666667,Critical,Unknown,Unknown,"URGENT: Declare national AMR emergency and activate crisis response plan
Immediately restrict OTC antibiotic sales -- mandatory prescription required
Deploy WHO-supported antimicrobial stewardship programmes in all hospitals"
Lithuania,80.085,Critical,Unknown,Unknown,"URGENT: Declare national AMR emergency and activate crisis response plan
Immediately restrict OTC antibiotic sales -- mandatory prescription required
Deploy WHO-supported antimicrobial stewardship programmes in all hospitals"
Turkey,79.08833333333334,Critical,Unknown,Unknown,"URGENT: Declare national AMR emergency and activate crisis response plan
Immediately restrict OTC antibiotic sales -- mandatory prescription required
Deploy WHO-supported antimicrobial stewardship programmes in all hospitals"
"Korea, South",73.825,Critical,Unknown,Unknown,"URGENT: Declare national AMR emergency and activate crisis response plan
Immediately restrict OTC antibiotic sales -- mandatory prescription required
Deploy WHO-supported antimicrobial stewardship programmes in all hospitals"
Romania,73.79,Critical,Unknown,Unknown,"URGENT: Declare national AMR emergency and activate crisis response plan
Immediately restrict OTC antibiotic sales -- mandatory prescription required
Deploy WHO-supported antimicrobial stewardship programmes in all hospitals"
Hungary,68.66000000000001,Critical,Unknown,Unknown,"URGENT: Declare national AMR emergency and activate crisis response plan
Immediately restrict OTC antibiotic sales -- mandatory prescription required
Deploy WHO-supported antimicrobial stewardship programmes in all hospitals"
Malaysia,68.465,Critical,Unknown,Unknown,"URGENT: Declare national AMR emergency and activate crisis response plan
Immediately restrict OTC antibiotic sales -- mandatory prescription required
Deploy WHO-supported antimicrobial stewardship programmes in all hospitals"
Italy,66.99833333333333,Critical,Unknown,Unknown,"URGENT: Declare national AMR emergency and activate crisis response plan
Immediately restrict OTC antibiotic sales -- mandatory prescription required
Deploy WHO-supported antimicrobial stewardship programmes in all hospitals"
Argentina,65.71666666666667,Critical,Unknown,Unknown,"URGENT: Declare national AMR emergency and activate crisis response plan
Immediately restrict OTC antibiotic sales -- mandatory prescription required
Deploy WHO-supported antimicrobial stewardship programmes in all hospitals"
Ukraine,63.89666666666667,High,Unknown,Unknown,"Implement national antibiotic stewardship action plan within 12 months
Restrict Watch-group antibiotic prescribing to specialist approval
Mandatory reporting of AMR surveillance data to national authority"
Czech Republic,63.19,High,Unknown,Unknown,"Implement national antibiotic stewardship action plan within 12 months
Restrict Watch-group antibiotic prescribing to specialist approval
Mandatory reporting of AMR surveillance data to national authority"
