feature,importance
rolling3_mean_resistance,0.4034976386443656
lag1_resistance,0.23757032448737192
delta_resistance,0.13313377897642234
lag3_resistance,0.10992270621496554
lag2_resistance,0.09150595278669987
sanitation,0.009491631471443059
gdp_per_capita,0.002835464891882688
health_expenditure,0.002771319466235812
gini,0.0020510158119000825
water_access,0.0015489951208142664
lag1_total_DDD,0.0011709798235232413
antibiotic_pressure_index,0.001160489118423728
ses_risk_score,0.0010340834080010473
urbanisation,0.0009353009088470199
physicians,0.0007972305068681921
lag1_watch_proportion,0.0005730883622356312
