feature,importance
lag1_resistance,0.12062733406525918
rolling3_mean_resistance,0.11478335811114983
delta_resistance,0.09806175832145612
lag2_resistance,0.06174819303588679
sanitation,0.061738942684341956
lag3_resistance,0.059288600114861596
country_enc,0.05916788949359876
physicians,0.05883764717873416
gdp_per_capita,0.058728358257171286
antibiotic_pressure_index,0.05530880823272847
ses_risk_score,0.05422266789388905
lag1_watch_proportion,0.05183421555356355
drug_enc,0.0501160461366014
year_norm,0.04831255771195801
lag1_total_DDD,0.04722362320879986
pathogen_enc,0.0
