country,combo,year,yhat,yhat_lower,yhat_upper,source
Argentina,A_baumannii_3GC,2024,78.63,75.14,84.46,xgboost
Argentina,A_baumannii_AMG,2024,20.2,11.31,40.08,xgboost
Argentina,A_baumannii_CARB,2024,90.75,75.61,93.51,xgboost
Argentina,A_baumannii_COL,2024,5.55,4.15,6.32,xgboost
Argentina,A_baumannii_FQ,2024,90.75,75.81,93.51,xgboost
Argentina,A_baumannii_TET,2024,59.64,47.78,61.64,xgboost
Australia,A_baumannii_3GC,2024,13.52,12.75,14.8,xgboost
Australia,A_baumannii_AMG,2024,8.21,8.15,8.21,xgboost
Australia,A_baumannii_CARB,2024,3.97,3.77,4.82,xgboost
Australia,A_baumannii_COL,2024,0.17,0.0,3.91,xgboost
Australia,A_baumannii_FQ,2024,13.61,12.83,13.8,xgboost
Australia,A_baumannii_TET,2024,4.41,4.05,6.25,xgboost
Belgium,A_baumannii_3GC,2024,38.66,23.04,38.66,xgboost
Belgium,A_baumannii_AMG,2024,10.61,9.97,14.67,xgboost
Belgium,A_baumannii_CARB,2024,10.87,10.07,15.94,xgboost
Belgium,A_baumannii_COL,2024,6.63,6.63,9.07,xgboost
Belgium,A_baumannii_FQ,2024,52.64,44.84,58.9,xgboost
Belgium,A_baumannii_TET,2024,17.51,14.62,18.63,xgboost
Brazil,A_baumannii_3GC,2024,100.0,77.07,100.0,xgboost
Brazil,A_baumannii_AMG,2024,100.0,70.65,100.0,xgboost
Brazil,A_baumannii_CARB,2024,100.0,71.96,100.0,xgboost
Brazil,A_baumannii_COL,2024,0.13,0.07,8.21,xgboost
Brazil,A_baumannii_FQ,2024,100.0,75.91,100.0,xgboost
Brazil,A_baumannii_TET,2024,73.29,59.68,73.29,xgboost
Chile,A_baumannii_3GC,2024,39.67,35.66,49.86,xgboost
Chile,A_baumannii_AMG,2024,34.56,29.31,34.56,xgboost
Chile,A_baumannii_CARB,2024,20.42,17.05,21.9,xgboost
Chile,A_baumannii_COL,2024,0.37,0.0,6.74,xgboost
Chile,A_baumannii_FQ,2024,43.81,38.38,54.56,xgboost
Chile,A_baumannii_TET,2024,6.02,5.19,10.17,xgboost
Colombia,A_baumannii_3GC,2024,0.8,0.06,7.54,xgboost
Colombia,A_baumannii_AMG,2024,0.56,0.56,4.2,xgboost
Colombia,A_baumannii_CARB,2024,23.71,18.39,25.32,xgboost
Colombia,A_baumannii_COL,2024,0.28,0.0,4.83,xgboost
Colombia,A_baumannii_FQ,2024,1.03,0.0,4.2,xgboost
Colombia,A_baumannii_TET,2024,2.02,0.0,3.13,xgboost
Croatia,A_baumannii_3GC,2024,93.13,70.95,94.45,xgboost
Croatia,A_baumannii_AMG,2024,91.2,69.77,92.66,xgboost
Croatia,A_baumannii_CARB,2024,92.84,69.78,94.51,xgboost
Croatia,A_baumannii_COL,2024,3.28,3.24,7.46,xgboost
Croatia,A_baumannii_FQ,2024,92.78,69.77,94.74,xgboost
Croatia,A_baumannii_TET,2024,91.25,69.77,92.98,xgboost
Czech Republic,A_baumannii_3GC,2024,26.66,19.44,26.66,xgboost
Czech Republic,A_baumannii_AMG,2024,26.28,18.81,26.28,xgboost
Czech Republic,A_baumannii_CARB,2024,26.96,20.21,28.37,xgboost
Czech Republic,A_baumannii_COL,2024,0.0,0.0,5.47,xgboost
Czech Republic,A_baumannii_FQ,2024,27.14,19.28,27.14,xgboost
Czech Republic,A_baumannii_TET,2024,20.6,16.26,21.52,xgboost
France,A_baumannii_3GC,2024,27.47,24.24,34.46,xgboost
France,A_baumannii_AMG,2024,2.8,2.8,14.47,xgboost
France,A_baumannii_CARB,2024,24.6,22.6,26.07,xgboost
France,A_baumannii_COL,2024,0.0,0.0,5.15,xgboost
France,A_baumannii_FQ,2024,39.85,32.86,41.97,xgboost
France,A_baumannii_TET,2024,36.0,33.05,36.01,xgboost
Germany,A_baumannii_3GC,2024,23.28,17.39,23.31,xgboost
Germany,A_baumannii_AMG,2024,16.39,14.58,19.07,xgboost
Germany,A_baumannii_CARB,2024,17.68,15.38,19.2,xgboost
Germany,A_baumannii_COL,2024,0.09,0.0,2.81,xgboost
Germany,A_baumannii_FQ,2024,11.11,6.5,16.98,xgboost
Germany,A_baumannii_TET,2024,9.76,8.25,11.87,xgboost
Greece,A_baumannii_3GC,2024,99.04,80.8,99.04,xgboost
Greece,A_baumannii_AMG,2024,100.0,80.65,100.0,xgboost
Greece,A_baumannii_CARB,2024,98.98,80.83,98.98,xgboost
Greece,A_baumannii_COL,2024,31.58,23.15,47.84,xgboost
Greece,A_baumannii_FQ,2024,99.05,80.81,99.05,xgboost
Greece,A_baumannii_TET,2024,100.0,75.05,100.0,xgboost
Guatemala,A_baumannii_3GC,2024,97.22,77.77,97.77,xgboost
Guatemala,A_baumannii_AMG,2024,100.0,74.84,100.0,xgboost
Guatemala,A_baumannii_CARB,2024,100.0,80.53,100.0,xgboost
Guatemala,A_baumannii_COL,2024,0.26,0.0,2.94,xgboost
Guatemala,A_baumannii_FQ,2024,99.94,75.85,99.94,xgboost
Guatemala,A_baumannii_TET,2024,54.87,46.71,59.3,xgboost
Hungary,A_baumannii_3GC,2024,83.84,72.07,84.37,xgboost
Hungary,A_baumannii_AMG,2024,84.71,67.64,88.22,xgboost
Hungary,A_baumannii_CARB,2024,38.0,33.26,51.54,xgboost
Hungary,A_baumannii_COL,2024,0.0,0.0,5.48,xgboost
Hungary,A_baumannii_FQ,2024,66.77,60.89,72.13,xgboost
Hungary,A_baumannii_TET,2024,69.86,61.3,69.86,xgboost
Israel,A_baumannii_3GC,2024,70.99,68.08,80.79,xgboost
Israel,A_baumannii_AMG,2024,68.99,60.95,70.05,xgboost
Israel,A_baumannii_CARB,2024,73.88,69.02,84.72,xgboost
Israel,A_baumannii_COL,2024,0.37,0.0,6.35,xgboost
Israel,A_baumannii_FQ,2024,71.25,68.56,80.75,xgboost
Israel,A_baumannii_TET,2024,46.57,40.04,46.57,xgboost
Italy,A_baumannii_3GC,2024,85.59,77.89,86.65,xgboost
Italy,A_baumannii_AMG,2024,83.02,70.98,85.87,xgboost
Italy,A_baumannii_CARB,2024,85.65,77.9,86.54,xgboost
Italy,A_baumannii_COL,2024,7.36,5.7,9.79,xgboost
Italy,A_baumannii_FQ,2024,85.85,77.89,86.58,xgboost
Italy,A_baumannii_TET,2024,69.36,63.03,70.48,xgboost
Japan,A_baumannii_3GC,2024,1.02,0.0,10.27,xgboost
Japan,A_baumannii_AMG,2024,0.39,0.0,7.0,xgboost
Japan,A_baumannii_CARB,2024,0.0,0.0,7.61,xgboost
Japan,A_baumannii_COL,2024,0.21,0.0,6.99,xgboost
Japan,A_baumannii_FQ,2024,1.99,0.57,11.58,xgboost
Japan,A_baumannii_TET,2024,2.62,0.74,9.95,xgboost
"Korea, South",A_baumannii_3GC,2024,96.72,73.62,98.07,xgboost
"Korea, South",A_baumannii_AMG,2024,91.09,73.2,96.88,xgboost
"Korea, South",A_baumannii_CARB,2024,96.96,73.62,98.09,xgboost
"Korea, South",A_baumannii_COL,2024,0.0,0.0,5.55,xgboost
"Korea, South",A_baumannii_FQ,2024,98.48,73.93,98.48,xgboost
"Korea, South",A_baumannii_TET,2024,49.12,47.13,49.12,xgboost
Lithuania,A_baumannii_3GC,2024,92.48,81.11,92.48,xgboost
Lithuania,A_baumannii_AMG,2024,91.53,80.1,92.31,xgboost
Lithuania,A_baumannii_CARB,2024,92.53,81.11,92.53,xgboost
Lithuania,A_baumannii_COL,2024,0.0,0.0,9.25,xgboost
Lithuania,A_baumannii_FQ,2024,92.59,81.09,92.59,xgboost
Lithuania,A_baumannii_TET,2024,91.2,79.02,92.4,xgboost
Malaysia,A_baumannii_3GC,2024,74.82,69.14,82.76,xgboost
Malaysia,A_baumannii_AMG,2024,68.63,60.0,72.99,xgboost
Malaysia,A_baumannii_CARB,2024,74.99,69.15,82.88,xgboost
Malaysia,A_baumannii_COL,2024,0.1,0.0,5.61,xgboost
Malaysia,A_baumannii_FQ,2024,64.48,59.53,69.56,xgboost
Malaysia,A_baumannii_TET,2024,37.39,32.94,41.9,xgboost
Mexico,A_baumannii_3GC,2024,78.64,70.78,80.1,xgboost
Mexico,A_baumannii_AMG,2024,44.94,36.79,62.88,xgboost
Mexico,A_baumannii_CARB,2024,78.54,70.77,80.17,xgboost
Mexico,A_baumannii_COL,2024,0.09,0.0,7.52,xgboost
Mexico,A_baumannii_FQ,2024,78.64,70.75,80.15,xgboost
Mexico,A_baumannii_TET,2024,36.81,33.56,51.83,xgboost
Philippines,A_baumannii_3GC,2024,25.7,21.44,38.15,xgboost
Philippines,A_baumannii_AMG,2024,21.79,15.34,31.32,xgboost
Philippines,A_baumannii_CARB,2024,24.67,17.74,36.46,xgboost
Philippines,A_baumannii_COL,2024,7.16,0.04,9.66,xgboost
Philippines,A_baumannii_FQ,2024,54.3,47.48,54.3,xgboost
Philippines,A_baumannii_TET,2024,28.76,17.65,29.96,xgboost
Poland,A_baumannii_3GC,2024,62.79,62.79,74.14,xgboost
Poland,A_baumannii_AMG,2024,62.88,50.12,70.5,xgboost
Poland,A_baumannii_CARB,2024,65.4,60.69,72.44,xgboost
Poland,A_baumannii_COL,2024,9.2,8.02,14.04,xgboost
Poland,A_baumannii_FQ,2024,72.4,64.96,84.92,xgboost
Poland,A_baumannii_TET,2024,60.28,59.04,69.68,xgboost
Portugal,A_baumannii_3GC,2024,23.69,12.13,23.69,xgboost
Portugal,A_baumannii_AMG,2024,0.0,0.0,6.46,xgboost
Portugal,A_baumannii_CARB,2024,23.65,12.0,23.65,xgboost
Portugal,A_baumannii_COL,2024,0.0,0.0,4.62,xgboost
Portugal,A_baumannii_FQ,2024,24.1,11.91,24.31,xgboost
Portugal,A_baumannii_TET,2024,9.66,5.3,15.43,xgboost
Romania,A_baumannii_3GC,2024,92.68,83.49,92.76,xgboost
Romania,A_baumannii_AMG,2024,82.78,76.08,83.62,xgboost
Romania,A_baumannii_CARB,2024,92.75,83.5,92.79,xgboost
Romania,A_baumannii_COL,2024,0.01,0.0,5.8,xgboost
Romania,A_baumannii_FQ,2024,92.86,83.47,92.86,xgboost
Romania,A_baumannii_TET,2024,34.57,29.95,51.88,xgboost
Russia,A_baumannii_3GC,2024,93.52,78.9,93.52,xgboost
Russia,A_baumannii_AMG,2024,80.22,74.95,81.4,xgboost
Russia,A_baumannii_CARB,2024,84.35,73.88,84.35,xgboost
Russia,A_baumannii_COL,2024,0.0,0.0,3.3,xgboost
Russia,A_baumannii_FQ,2024,91.25,80.47,91.96,xgboost
Russia,A_baumannii_TET,2024,59.37,32.05,59.37,xgboost
Spain,A_baumannii_3GC,2024,16.59,10.42,32.61,xgboost
Spain,A_baumannii_AMG,2024,0.0,0.0,12.49,xgboost
Spain,A_baumannii_CARB,2024,14.02,8.84,26.58,xgboost
Spain,A_baumannii_COL,2024,0.0,0.0,6.24,xgboost
Spain,A_baumannii_FQ,2024,19.01,16.66,37.62,xgboost
Spain,A_baumannii_TET,2024,11.44,9.36,26.09,xgboost
Taiwan,A_baumannii_3GC,2024,28.92,21.53,37.97,xgboost
Taiwan,A_baumannii_AMG,2024,22.96,22.96,34.93,xgboost
Taiwan,A_baumannii_CARB,2024,31.6,29.11,40.54,xgboost
Taiwan,A_baumannii_COL,2024,0.0,0.0,4.78,xgboost
Taiwan,A_baumannii_FQ,2024,28.74,21.4,38.05,xgboost
Taiwan,A_baumannii_TET,2024,7.94,7.94,19.04,xgboost
Thailand,A_baumannii_3GC,2024,99.61,74.89,99.64,xgboost
Thailand,A_baumannii_AMG,2024,68.8,58.33,70.87,xgboost
Thailand,A_baumannii_CARB,2024,99.77,74.88,99.79,xgboost
Thailand,A_baumannii_COL,2024,0.0,0.0,3.01,xgboost
Thailand,A_baumannii_FQ,2024,97.64,76.82,98.55,xgboost
Thailand,A_baumannii_TET,2024,60.51,50.43,60.51,xgboost
Turkey,A_baumannii_3GC,2024,96.36,79.71,97.38,xgboost
Turkey,A_baumannii_AMG,2024,79.32,76.95,85.05,xgboost
Turkey,A_baumannii_CARB,2024,95.19,82.62,95.19,xgboost
Turkey,A_baumannii_COL,2024,0.0,0.0,4.51,xgboost
Turkey,A_baumannii_FQ,2024,95.16,81.77,95.16,xgboost
Turkey,A_baumannii_TET,2024,79.76,66.34,79.76,xgboost
Ukraine,A_baumannii_3GC,2024,75.32,69.66,87.45,xgboost
Ukraine,A_baumannii_AMG,2024,73.23,69.1,85.5,xgboost
Ukraine,A_baumannii_CARB,2024,68.93,66.64,79.14,xgboost
Ukraine,A_baumannii_COL,2024,3.13,3.11,3.32,xgboost
Ukraine,A_baumannii_FQ,2024,75.09,69.56,87.69,xgboost
Ukraine,A_baumannii_TET,2024,57.28,50.93,61.23,xgboost
United Kingdom,A_baumannii_3GC,2024,0.0,0.0,3.36,xgboost
United Kingdom,A_baumannii_AMG,2024,0.0,0.0,2.74,xgboost
United Kingdom,A_baumannii_CARB,2024,0.0,0.0,3.25,xgboost
United Kingdom,A_baumannii_COL,2024,0.63,0.0,1.38,xgboost
United Kingdom,A_baumannii_FQ,2024,0.0,0.0,3.76,xgboost
United Kingdom,A_baumannii_TET,2024,0.0,0.0,3.92,xgboost
United States,A_baumannii_3GC,2024,40.88,40.88,44.58,xgboost
United States,A_baumannii_AMG,2024,18.68,17.96,20.34,xgboost
United States,A_baumannii_CARB,2024,37.0,34.84,38.84,xgboost
United States,A_baumannii_COL,2024,0.58,0.0,5.42,xgboost
United States,A_baumannii_FQ,2024,44.78,43.52,47.72,xgboost
United States,A_baumannii_TET,2024,29.54,29.54,35.39,xgboost
Vietnam,A_baumannii_3GC,2024,92.61,70.99,94.17,xgboost
Vietnam,A_baumannii_AMG,2024,92.17,71.01,94.21,xgboost
Vietnam,A_baumannii_CARB,2024,87.29,70.24,89.79,xgboost
Vietnam,A_baumannii_COL,2024,7.61,0.0,7.61,xgboost
Vietnam,A_baumannii_FQ,2024,92.11,71.01,94.41,xgboost
Vietnam,A_baumannii_TET,2024,65.23,55.46,65.23,xgboost
Argentina,A_baumannii_3GC,2025,67.27,67.27,73.75,xgboost
Argentina,A_baumannii_AMG,2025,19.02,14.0,21.37,xgboost
Argentina,A_baumannii_CARB,2025,81.96,76.87,88.66,xgboost
Argentina,A_baumannii_COL,2025,6.28,5.3,6.58,xgboost
Argentina,A_baumannii_FQ,2025,82.04,77.06,88.68,xgboost
Argentina,A_baumannii_TET,2025,63.46,53.38,64.37,xgboost
Australia,A_baumannii_3GC,2025,14.5,14.42,17.97,xgboost
Australia,A_baumannii_AMG,2025,8.67,8.67,11.35,xgboost
Australia,A_baumannii_CARB,2025,3.2,1.74,5.46,xgboost
Australia,A_baumannii_COL,2025,0.17,0.0,3.91,xgboost
Australia,A_baumannii_FQ,2025,14.76,14.76,17.01,xgboost
Australia,A_baumannii_TET,2025,5.92,4.49,6.44,xgboost
Belgium,A_baumannii_3GC,2025,46.1,35.7,48.45,xgboost
Belgium,A_baumannii_AMG,2025,10.31,9.96,13.43,xgboost
Belgium,A_baumannii_CARB,2025,9.97,9.97,14.52,xgboost
Belgium,A_baumannii_COL,2025,6.24,4.72,9.56,xgboost
Belgium,A_baumannii_FQ,2025,59.61,50.48,60.42,xgboost
Belgium,A_baumannii_TET,2025,23.31,17.2,24.45,xgboost
Brazil,A_baumannii_3GC,2025,99.66,81.03,99.66,xgboost
Brazil,A_baumannii_AMG,2025,100.0,72.1,100.0,xgboost
Brazil,A_baumannii_CARB,2025,99.22,77.57,99.22,xgboost
Brazil,A_baumannii_COL,2025,0.2,0.01,8.21,xgboost
Brazil,A_baumannii_FQ,2025,99.68,79.87,99.68,xgboost
Brazil,A_baumannii_TET,2025,83.01,62.5,83.01,xgboost
Chile,A_baumannii_3GC,2025,44.77,39.14,45.46,xgboost
Chile,A_baumannii_AMG,2025,44.06,32.92,44.97,xgboost
Chile,A_baumannii_CARB,2025,23.91,19.75,27.69,xgboost
Chile,A_baumannii_COL,2025,0.25,0.25,6.5,xgboost
Chile,A_baumannii_FQ,2025,50.06,41.79,50.34,xgboost
Chile,A_baumannii_TET,2025,8.16,5.79,11.13,xgboost
Colombia,A_baumannii_3GC,2025,2.98,2.98,3.66,xgboost
Colombia,A_baumannii_AMG,2025,2.28,2.28,2.28,xgboost
Colombia,A_baumannii_CARB,2025,27.74,21.76,29.63,xgboost
Colombia,A_baumannii_COL,2025,0.23,0.13,1.86,xgboost
Colombia,A_baumannii_FQ,2025,2.92,2.81,2.92,xgboost
Colombia,A_baumannii_TET,2025,4.4,3.24,4.4,xgboost
Croatia,A_baumannii_3GC,2025,86.68,73.97,89.02,xgboost
Croatia,A_baumannii_AMG,2025,89.79,74.98,91.01,xgboost
Croatia,A_baumannii_CARB,2025,86.39,72.82,88.89,xgboost
Croatia,A_baumannii_COL,2025,0.92,0.57,7.54,xgboost
Croatia,A_baumannii_FQ,2025,86.45,72.79,88.95,xgboost
Croatia,A_baumannii_TET,2025,89.93,74.95,90.64,xgboost
Czech Republic,A_baumannii_3GC,2025,35.23,27.44,35.23,xgboost
Czech Republic,A_baumannii_AMG,2025,34.39,23.61,34.39,xgboost
Czech Republic,A_baumannii_CARB,2025,36.56,27.68,36.93,xgboost
Czech Republic,A_baumannii_COL,2025,0.0,0.0,5.47,xgboost
