country,combo,year,pathogen,drug,resistance_pct,n_isolates,source_files,total_DDD,watch_proportion,gdp_per_capita,health_expenditure,sanitation,physicians,hospital_beds,urbanisation,agricultural_land,gini,water_access,income_group,region,lag1_resistance,lag2_resistance,lag3_resistance,rolling3_mean_resistance,delta_resistance,lag1_total_DDD,lag1_watch_proportion,antibiotic_pressure_index,ses_risk_score
Argentina,A_baumannii_3GC,2016,A_baumannii,3GC,95.83333333333333,24.0,IST-Entasis_Acinetobacter-Surveillance_2016-2021.csv,12.7,0.3058,12699.9623137756,10.05355549,48.5396557191852,5.024,4.94,91.5856817228217,43.4324236577764,42.3,99.0413738458383,Unknown,Unknown,,,,,0.0,,,,0.2904178362948008
Argentina,A_baumannii_3GC,2017,A_baumannii,3GC,96.15384615384616,26.0,IST-Entasis_Acinetobacter-Surveillance_2016-2021.csv,12.57,0.2929,14532.5009308511,10.26057911,72.295,5.094,4.99,91.6776028433824,42.9825761047104,41.4,87.432,Unknown,Unknown,95.83333333333333,95.83333333333333,95.83333333333333,95.83333333333333,0.3205128205128318,12.7,0.3058,3.88366,0.22485576877325986
Argentina,A_baumannii_3GC,2018,A_baumannii,3GC,62.96296296296296,27.0,IST-Entasis_Acinetobacter-Surveillance_2016-2021.csv,12.2,0.3147,11752.7998922979,10.17289257,73.253,5.167,3.69,91.7679941327998,42.3613927774063,41.7,88.779,Unknown,Unknown,96.15384615384616,95.83333333333333,95.83333333333333,95.99358974358975,-33.1908831908832,12.2,0.3147,3.8393399999999995,0.22980070597210622
Argentina,A_baumannii_3GC,2019,A_baumannii,3GC,95.45454545454545,22.0,IST-Entasis_Acinetobacter-Surveillance_2016-2021.csv,13.21,0.3101,9955.97478680428,10.11911297,75.068,5.25,3.69,91.8567844513802,42.605848671205,43.3,88.597,Unknown,Unknown,62.96296296296296,96.15384615384616,95.83333333333333,84.98338081671415,32.49158249158249,13.21,0.3101,4.096421,0.23085209421347158
Argentina,A_baumannii_3GC,2020,A_baumannii,3GC,90.0,20.0,IST-Entasis_Acinetobacter-Surveillance_2016-2021.csv,13.09,0.3233,8535.59938004389,10.67246342,72.971,5.304,3.19,91.9439026594897,43.0004859885482,42.7,89.028,Unknown,Unknown,95.45454545454545,62.96296296296296,96.15384615384616,84.85711819045153,-5.454545454545453,13.09,0.3233,4.231997,0.23524705112232577
Argentina,A_baumannii_3GC,2021,A_baumannii,3GC,,,,13.98,0.3128,10738.0179223384,11.00910187,74.981,5.384,3.34,92.0292776175651,43.1097420606645,42.4,89.544,Unknown,Unknown,90.0,95.45454545454545,62.96296296296296,82.80583613916947,0.0,13.09,0.3233,4.231997,0.21986767210901165
Argentina,A_baumannii_3GC,2022,A_baumannii,3GC,,,,13.58,0.3134,13962.1894087223,10.15950489,75.0,5.437,3.36,92.112838186126,43.4276443440799,40.7,90.0,Unknown,Unknown,,90.0,95.45454545454545,92.72727272727272,0.0,13.58,0.3134,4.255972,0.22032282095159028
Argentina,A_baumannii_3GC,2023,A_baumannii,3GC,,,,13.68,0.3203,14261.8465667948,10.2695179,74.579,5.106,2.491,92.1945132257907,42.4367915620695,42.4,90.343,Unknown,Unknown,,,90.0,90.0,0.0,13.68,0.3203,4.381703999999999,0.21962871639753823
Argentina,A_baumannii_3GC,2024,A_baumannii,3GC,,,,13.95,0.3289,15843.768,6.102,74.55,1.527,2.472,60.136,42.4367915620695,38.701,91.544,Unknown,Unknown,,,,,0.0,13.95,0.3289,4.588155,0.3970940440608485
Argentina,A_baumannii_3GC,2025,A_baumannii,3GC,,,,14.26,0.3225,17579.312,6.19,76.476,1.45,2.429,61.027,42.4367915620695,37.632,90.181,Unknown,Unknown,,,,,0.0,14.26,0.3225,4.59885,0.3913144776997374
