country,combo,year,pathogen,drug,resistance_pct,n_isolates,source_files,total_DDD,watch_proportion,gdp_per_capita,health_expenditure,sanitation,physicians,hospital_beds,urbanisation,agricultural_land,gini,water_access,income_group,region
Argentina,A_baumannii_3GC,2016,A_baumannii,3GC,95.83333333333333,24.0,IST-Entasis_Acinetobacter-Surveillance_2016-2021.csv,12.7,0.3058,12699.9623137756,10.05355549,48.5396557191852,5.024,4.94,91.5856817228217,43.4324236577764,42.3,99.0413738458383,Unknown,Unknown
Argentina,A_baumannii_3GC,2017,A_baumannii,3GC,96.15384615384616,26.0,IST-Entasis_Acinetobacter-Surveillance_2016-2021.csv,12.57,0.2929,14532.5009308511,10.26057911,72.295,5.094,4.99,91.6776028433824,42.9825761047104,41.4,87.432,Unknown,Unknown
Argentina,A_baumannii_3GC,2018,A_baumannii,3GC,62.96296296296296,27.0,IST-Entasis_Acinetobacter-Surveillance_2016-2021.csv,12.2,0.3147,11752.7998922979,10.17289257,73.253,5.167,3.69,91.7679941327998,42.3613927774063,41.7,88.779,Unknown,Unknown
Argentina,A_baumannii_3GC,2019,A_baumannii,3GC,95.45454545454545,22.0,IST-Entasis_Acinetobacter-Surveillance_2016-2021.csv,13.21,0.3101,9955.97478680428,10.11911297,75.068,5.25,3.69,91.8567844513802,42.605848671205,43.3,88.597,Unknown,Unknown
Argentina,A_baumannii_3GC,2020,A_baumannii,3GC,90.0,20.0,IST-Entasis_Acinetobacter-Surveillance_2016-2021.csv,13.09,0.3233,8535.59938004389,10.67246342,72.971,5.304,3.19,91.9439026594897,43.0004859885482,42.7,89.028,Unknown,Unknown
Argentina,A_baumannii_3GC,2021,A_baumannii,3GC,,,,13.98,0.3128,10738.0179223384,11.00910187,74.981,5.384,3.34,92.0292776175651,43.1097420606645,42.4,89.544,Unknown,Unknown
Argentina,A_baumannii_3GC,2022,A_baumannii,3GC,,,,13.58,0.3134,13962.1894087223,10.15950489,75.0,5.437,3.36,92.112838186126,43.4276443440799,40.7,90.0,Unknown,Unknown
Argentina,A_baumannii_3GC,2023,A_baumannii,3GC,,,,13.68,0.3203,14261.8465667948,10.2695179,74.579,5.106,2.491,92.1945132257907,42.4367915620695,42.4,90.343,Unknown,Unknown
Argentina,A_baumannii_3GC,2024,A_baumannii,3GC,,,,13.95,0.3289,15843.768,6.102,74.55,1.527,2.472,60.136,42.4367915620695,38.701,91.544,Unknown,Unknown
Argentina,A_baumannii_3GC,2025,A_baumannii,3GC,,,,14.26,0.3225,17579.312,6.19,76.476,1.45,2.429,61.027,42.4367915620695,37.632,90.181,Unknown,Unknown
Argentina,A_baumannii_3GC,2026,A_baumannii,3GC,,,,15.21,0.3217,16402.044,6.103,76.495,1.46,2.532,59.475,42.4367915620695,38.786,92.752,Unknown,Unknown
Argentina,A_baumannii_3GC,2027,A_baumannii,3GC,,,,14.17,0.3357,14399.941,6.283,76.092,1.579,2.546,63.05,42.4367915620695,38.337,90.178,Unknown,Unknown
Argentina,A_baumannii_3GC,2028,A_baumannii,3GC,,,,14.17,0.3376,17641.781,6.176,75.004,1.612,2.542,63.993,42.4367915620695,37.56,92.36,Unknown,Unknown
Argentina,A_baumannii_3GC,2029,A_baumannii,3GC,,,,15.59,0.3387,11073.007,5.523,78.009,1.615,2.719,59.264,42.4367915620695,37.36,87.217,Unknown,Unknown
Argentina,A_baumannii_3GC,2030,A_baumannii,3GC,,,,15.4,0.3205,14988.254,6.032,77.135,1.463,2.762,58.463,42.4367915620695,35.803,93.203,Unknown,Unknown
Argentina,A_baumannii_AMG,2016,A_baumannii,AMG,66.66666666666667,24.0,IST-Entasis_Acinetobacter-Surveillance_2016-2021.csv,12.7,0.3058,12699.9623137756,10.05355549,48.5396557191852,5.024,4.94,91.5856817228217,43.4324236577764,42.3,99.0413738458383,Unknown,Unknown
Argentina,A_baumannii_AMG,2017,A_baumannii,AMG,57.692307692307686,26.0,IST-Entasis_Acinetobacter-Surveillance_2016-2021.csv,12.57,0.2929,14532.5009308511,10.26057911,72.295,5.094,4.99,91.6776028433824,42.9825761047104,41.4,87.432,Unknown,Unknown
Argentina,A_baumannii_AMG,2018,A_baumannii,AMG,29.629629629629626,27.0,IST-Entasis_Acinetobacter-Surveillance_2016-2021.csv,12.2,0.3147,11752.7998922979,10.17289257,73.253,5.167,3.69,91.7679941327998,42.3613927774063,41.7,88.779,Unknown,Unknown
Argentina,A_baumannii_AMG,2019,A_baumannii,AMG,77.27272727272727,22.0,IST-Entasis_Acinetobacter-Surveillance_2016-2021.csv,13.21,0.3101,9955.97478680428,10.11911297,75.068,5.25,3.69,91.8567844513802,42.605848671205,43.3,88.597,Unknown,Unknown
Argentina,A_baumannii_AMG,2020,A_baumannii,AMG,40.0,20.0,IST-Entasis_Acinetobacter-Surveillance_2016-2021.csv,13.09,0.3233,8535.59938004389,10.67246342,72.971,5.304,3.19,91.9439026594897,43.0004859885482,42.7,89.028,Unknown,Unknown
Argentina,A_baumannii_AMG,2021,A_baumannii,AMG,,,,13.98,0.3128,10738.0179223384,11.00910187,74.981,5.384,3.34,92.0292776175651,43.1097420606645,42.4,89.544,Unknown,Unknown
Argentina,A_baumannii_AMG,2022,A_baumannii,AMG,,,,13.58,0.3134,13962.1894087223,10.15950489,75.0,5.437,3.36,92.112838186126,43.4276443440799,40.7,90.0,Unknown,Unknown
Argentina,A_baumannii_AMG,2023,A_baumannii,AMG,,,,13.68,0.3203,14261.8465667948,10.2695179,74.579,5.106,2.491,92.1945132257907,42.4367915620695,42.4,90.343,Unknown,Unknown
Argentina,A_baumannii_AMG,2024,A_baumannii,AMG,,,,13.95,0.3289,15843.768,6.102,74.55,1.527,2.472,60.136,42.4367915620695,38.701,91.544,Unknown,Unknown
Argentina,A_baumannii_AMG,2025,A_baumannii,AMG,,,,14.26,0.3225,17579.312,6.19,76.476,1.45,2.429,61.027,42.4367915620695,37.632,90.181,Unknown,Unknown
