country,combo,year,rf_forecast
Argentina,A_baumannii_3GC,2024,85.19
Argentina,A_baumannii_AMG,2024,19.19
Argentina,A_baumannii_CARB,2024,94.58
Argentina,A_baumannii_COL,2024,7.06
Argentina,A_baumannii_FQ,2024,94.58
Argentina,A_baumannii_TET,2024,63.31
Australia,A_baumannii_3GC,2024,12.56
Australia,A_baumannii_AMG,2024,9.11
Australia,A_baumannii_CARB,2024,2.37
Australia,A_baumannii_COL,2024,0.39
Australia,A_baumannii_FQ,2024,12.52
Australia,A_baumannii_TET,2024,4.18
Belgium,A_baumannii_3GC,2024,37.51
Belgium,A_baumannii_AMG,2024,11.02
Belgium,A_baumannii_CARB,2024,11.04
Belgium,A_baumannii_COL,2024,9.17
Belgium,A_baumannii_FQ,2024,57.85
Belgium,A_baumannii_TET,2024,15.92
Brazil,A_baumannii_3GC,2024,97.32
Brazil,A_baumannii_AMG,2024,96.62
Brazil,A_baumannii_CARB,2024,97.3
Brazil,A_baumannii_COL,2024,0.06
Brazil,A_baumannii_FQ,2024,97.32
Brazil,A_baumannii_TET,2024,71.04
Chile,A_baumannii_3GC,2024,45.1
Chile,A_baumannii_AMG,2024,36.94
Chile,A_baumannii_CARB,2024,17.36
Chile,A_baumannii_COL,2024,0.31
Chile,A_baumannii_FQ,2024,48.43
Chile,A_baumannii_TET,2024,7.65
Colombia,A_baumannii_3GC,2024,0.57
Colombia,A_baumannii_AMG,2024,0.34
Colombia,A_baumannii_CARB,2024,30.48
Colombia,A_baumannii_COL,2024,0.35
Colombia,A_baumannii_FQ,2024,0.34
Colombia,A_baumannii_TET,2024,0.05
Croatia,A_baumannii_3GC,2024,92.18
Croatia,A_baumannii_AMG,2024,91.25
Croatia,A_baumannii_CARB,2024,92.18
Croatia,A_baumannii_COL,2024,1.66
Croatia,A_baumannii_FQ,2024,92.18
Croatia,A_baumannii_TET,2024,91.25
Czech Republic,A_baumannii_3GC,2024,28.73
Czech Republic,A_baumannii_AMG,2024,28.26
Czech Republic,A_baumannii_CARB,2024,29.76
Czech Republic,A_baumannii_COL,2024,0.03
Czech Republic,A_baumannii_FQ,2024,28.73
Czech Republic,A_baumannii_TET,2024,21.73
France,A_baumannii_3GC,2024,30.25
France,A_baumannii_AMG,2024,3.79
France,A_baumannii_CARB,2024,25.23
France,A_baumannii_COL,2024,0.08
France,A_baumannii_FQ,2024,39.86
France,A_baumannii_TET,2024,36.34
Germany,A_baumannii_3GC,2024,22.96
Germany,A_baumannii_AMG,2024,16.55
Germany,A_baumannii_CARB,2024,18.42
Germany,A_baumannii_COL,2024,0.55
Germany,A_baumannii_FQ,2024,8.67
Germany,A_baumannii_TET,2024,8.84
Greece,A_baumannii_3GC,2024,99.19
Greece,A_baumannii_AMG,2024,99.22
Greece,A_baumannii_CARB,2024,99.19
Greece,A_baumannii_COL,2024,31.49
Greece,A_baumannii_FQ,2024,99.19
Greece,A_baumannii_TET,2024,98.58
Guatemala,A_baumannii_3GC,2024,96.93
Guatemala,A_baumannii_AMG,2024,91.77
Guatemala,A_baumannii_CARB,2024,96.48
Guatemala,A_baumannii_COL,2024,0.03
Guatemala,A_baumannii_FQ,2024,96.82
Guatemala,A_baumannii_TET,2024,56.71
Hungary,A_baumannii_3GC,2024,86.8
Hungary,A_baumannii_AMG,2024,83.72
Hungary,A_baumannii_CARB,2024,34.05
Hungary,A_baumannii_COL,2024,0.02
Hungary,A_baumannii_FQ,2024,62.86
Hungary,A_baumannii_TET,2024,68.94
Israel,A_baumannii_3GC,2024,72.81
Israel,A_baumannii_AMG,2024,71.0
Israel,A_baumannii_CARB,2024,73.56
Israel,A_baumannii_COL,2024,0.32
Israel,A_baumannii_FQ,2024,72.81
Israel,A_baumannii_TET,2024,45.97
Italy,A_baumannii_3GC,2024,84.99
Italy,A_baumannii_AMG,2024,78.6
Italy,A_baumannii_CARB,2024,84.94
Italy,A_baumannii_COL,2024,9.01
Italy,A_baumannii_FQ,2024,84.99
Italy,A_baumannii_TET,2024,68.12
Japan,A_baumannii_3GC,2024,0.78
Japan,A_baumannii_AMG,2024,0.07
Japan,A_baumannii_CARB,2024,0.39
Japan,A_baumannii_COL,2024,0.07
Japan,A_baumannii_FQ,2024,1.17
Japan,A_baumannii_TET,2024,0.96
"Korea, South",A_baumannii_3GC,2024,96.98
"Korea, South",A_baumannii_AMG,2024,92.06
"Korea, South",A_baumannii_CARB,2024,96.98
"Korea, South",A_baumannii_COL,2024,0.0
"Korea, South",A_baumannii_FQ,2024,97.17
"Korea, South",A_baumannii_TET,2024,46.78
Lithuania,A_baumannii_3GC,2024,91.49
Lithuania,A_baumannii_AMG,2024,91.42
Lithuania,A_baumannii_CARB,2024,91.49
Lithuania,A_baumannii_COL,2024,1.18
Lithuania,A_baumannii_FQ,2024,91.49
Lithuania,A_baumannii_TET,2024,91.18
Malaysia,A_baumannii_3GC,2024,75.89
Malaysia,A_baumannii_AMG,2024,69.31
Malaysia,A_baumannii_CARB,2024,75.89
Malaysia,A_baumannii_COL,2024,0.0
Malaysia,A_baumannii_FQ,2024,67.06
Malaysia,A_baumannii_TET,2024,40.5
Mexico,A_baumannii_3GC,2024,73.29
Mexico,A_baumannii_AMG,2024,38.95
Mexico,A_baumannii_CARB,2024,73.29
Mexico,A_baumannii_COL,2024,0.34
Mexico,A_baumannii_FQ,2024,73.29
Mexico,A_baumannii_TET,2024,32.62
Philippines,A_baumannii_3GC,2024,17.96
Philippines,A_baumannii_AMG,2024,13.46
Philippines,A_baumannii_CARB,2024,15.63
Philippines,A_baumannii_COL,2024,0.01
Philippines,A_baumannii_FQ,2024,47.93
Philippines,A_baumannii_TET,2024,28.54
Poland,A_baumannii_3GC,2024,69.7
Poland,A_baumannii_AMG,2024,67.26
Poland,A_baumannii_CARB,2024,70.73
Poland,A_baumannii_COL,2024,9.34
Poland,A_baumannii_FQ,2024,77.45
Poland,A_baumannii_TET,2024,66.4
Portugal,A_baumannii_3GC,2024,15.92
Portugal,A_baumannii_AMG,2024,1.46
Portugal,A_baumannii_CARB,2024,16.66
Portugal,A_baumannii_COL,2024,0.01
Portugal,A_baumannii_FQ,2024,16.9
Portugal,A_baumannii_TET,2024,5.44
Romania,A_baumannii_3GC,2024,91.56
Romania,A_baumannii_AMG,2024,79.19
Romania,A_baumannii_CARB,2024,91.56
Romania,A_baumannii_COL,2024,0.02
Romania,A_baumannii_FQ,2024,91.56
Romania,A_baumannii_TET,2024,31.96
Russia,A_baumannii_3GC,2024,94.26
Russia,A_baumannii_AMG,2024,78.25
Russia,A_baumannii_CARB,2024,87.68
Russia,A_baumannii_COL,2024,0.0
Russia,A_baumannii_FQ,2024,93.99
Russia,A_baumannii_TET,2024,56.28
Spain,A_baumannii_3GC,2024,17.22
Spain,A_baumannii_AMG,2024,1.87
Spain,A_baumannii_CARB,2024,14.74
Spain,A_baumannii_COL,2024,0.02
Spain,A_baumannii_FQ,2024,24.32
Spain,A_baumannii_TET,2024,11.55
Taiwan,A_baumannii_3GC,2024,23.86
Taiwan,A_baumannii_AMG,2024,22.74
Taiwan,A_baumannii_CARB,2024,30.56
Taiwan,A_baumannii_COL,2024,0.0
Taiwan,A_baumannii_FQ,2024,23.86
Taiwan,A_baumannii_TET,2024,6.03
Thailand,A_baumannii_3GC,2024,95.41
Thailand,A_baumannii_AMG,2024,66.68
Thailand,A_baumannii_CARB,2024,95.41
Thailand,A_baumannii_COL,2024,0.02
Thailand,A_baumannii_FQ,2024,94.96
Thailand,A_baumannii_TET,2024,56.89
Turkey,A_baumannii_3GC,2024,93.83
Turkey,A_baumannii_AMG,2024,75.73
Turkey,A_baumannii_CARB,2024,91.99
Turkey,A_baumannii_COL,2024,0.49
Turkey,A_baumannii_FQ,2024,91.99
Turkey,A_baumannii_TET,2024,75.5
Ukraine,A_baumannii_3GC,2024,80.13
Ukraine,A_baumannii_AMG,2024,78.82
Ukraine,A_baumannii_CARB,2024,77.48
Ukraine,A_baumannii_COL,2024,1.72
Ukraine,A_baumannii_FQ,2024,80.13
Ukraine,A_baumannii_TET,2024,62.85
United Kingdom,A_baumannii_3GC,2024,1.47
United Kingdom,A_baumannii_AMG,2024,1.45
United Kingdom,A_baumannii_CARB,2024,1.47
United Kingdom,A_baumannii_COL,2024,0.28
United Kingdom,A_baumannii_FQ,2024,1.48
United Kingdom,A_baumannii_TET,2024,1.27
United States,A_baumannii_3GC,2024,41.6
United States,A_baumannii_AMG,2024,20.87
United States,A_baumannii_CARB,2024,36.79
United States,A_baumannii_COL,2024,0.71
United States,A_baumannii_FQ,2024,43.24
United States,A_baumannii_TET,2024,30.49
Vietnam,A_baumannii_3GC,2024,90.68
Vietnam,A_baumannii_AMG,2024,90.68
