feature,coefficient
lag1_resistance,31.61498134026407
delta_resistance,15.349652105127499
rolling3_mean_resistance,7.0443074633155245
lag3_resistance,-2.1525199926928
lag2_resistance,-1.7852890915495327
antibiotic_pressure_index,0.3170676658199597
lag1_watch_proportion,-0.21578566287658338
lag1_total_DDD,-0.184713992544355
ses_risk_score,-0.1318924651363908
physicians,-0.0944388010970417
gdp_per_capita,-0.07559882185522983
sanitation,-0.06745783484988353
health_expenditure,0.044588472146297506
urbanisation,0.027386252040892026
water_access,-0.019462938039202654
gini,-0.004738882805004345
