country,combo,year,pathogen,drug,resistance_pct,n_isolates,source_files,total_DDD,watch_proportion,gdp_per_capita,health_expenditure,sanitation,physicians,hospital_beds,urbanisation,agricultural_land,gini,water_access,income_group,region,lag1_resistance,lag2_resistance,lag3_resistance,rolling3_mean_resistance,delta_resistance,lag1_total_DDD,lag1_watch_proportion,antibiotic_pressure_index,ses_risk_score
Argentina,A_baumannii_3GC,2017,A_baumannii,3GC,96.15384615384616,26.0,IST-Entasis_Acinetobacter-Surveillance_2016-2021.csv,12.57,0.2929,14532.5009308511,10.26057911,72.295,5.094,4.99,91.6776028433824,42.9825761047104,41.4,87.432,Unknown,Unknown,95.83333333333333,95.83333333333333,95.83333333333333,95.83333333333333,0.3205128205128318,12.7,0.3058,3.88366,0.22485576877325986
Argentina,A_baumannii_3GC,2018,A_baumannii,3GC,62.96296296296296,27.0,IST-Entasis_Acinetobacter-Surveillance_2016-2021.csv,12.2,0.3147,11752.7998922979,10.17289257,73.253,5.167,3.69,91.7679941327998,42.3613927774063,41.7,88.779,Unknown,Unknown,96.15384615384616,95.83333333333333,95.83333333333333,95.99358974358975,-33.1908831908832,12.2,0.3147,3.8393399999999995,0.22980070597210622
Argentina,A_baumannii_3GC,2019,A_baumannii,3GC,95.45454545454545,22.0,IST-Entasis_Acinetobacter-Surveillance_2016-2021.csv,13.21,0.3101,9955.97478680428,10.11911297,75.068,5.25,3.69,91.8567844513802,42.605848671205,43.3,88.597,Unknown,Unknown,62.96296296296296,96.15384615384616,95.83333333333333,84.98338081671415,32.49158249158249,13.21,0.3101,4.096421,0.23085209421347158
Argentina,A_baumannii_3GC,2020,A_baumannii,3GC,90.0,20.0,IST-Entasis_Acinetobacter-Surveillance_2016-2021.csv,13.09,0.3233,8535.59938004389,10.67246342,72.971,5.304,3.19,91.9439026594897,43.0004859885482,42.7,89.028,Unknown,Unknown,95.45454545454545,62.96296296296296,96.15384615384616,84.85711819045153,-5.454545454545453,13.09,0.3233,4.231997,0.23524705112232577
Argentina,A_baumannii_AMG,2017,A_baumannii,AMG,57.692307692307686,26.0,IST-Entasis_Acinetobacter-Surveillance_2016-2021.csv,12.57,0.2929,14532.5009308511,10.26057911,72.295,5.094,4.99,91.6776028433824,42.9825761047104,41.4,87.432,Unknown,Unknown,66.66666666666667,66.66666666666667,66.66666666666667,66.66666666666667,-8.974358974358985,12.57,0.2929,3.681753,0.22485576877325986
Argentina,A_baumannii_AMG,2018,A_baumannii,AMG,29.629629629629626,27.0,IST-Entasis_Acinetobacter-Surveillance_2016-2021.csv,12.2,0.3147,11752.7998922979,10.17289257,73.253,5.167,3.69,91.7679941327998,42.3613927774063,41.7,88.779,Unknown,Unknown,57.692307692307686,66.66666666666667,66.66666666666667,62.17948717948718,-28.06267806267806,12.2,0.3147,3.8393399999999995,0.22980070597210622
Argentina,A_baumannii_AMG,2019,A_baumannii,AMG,77.27272727272727,22.0,IST-Entasis_Acinetobacter-Surveillance_2016-2021.csv,13.21,0.3101,9955.97478680428,10.11911297,75.068,5.25,3.69,91.8567844513802,42.605848671205,43.3,88.597,Unknown,Unknown,29.629629629629626,57.692307692307686,66.66666666666667,51.32953466286799,47.64309764309764,13.21,0.3101,4.096421,0.23085209421347158
Argentina,A_baumannii_AMG,2020,A_baumannii,AMG,40.0,20.0,IST-Entasis_Acinetobacter-Surveillance_2016-2021.csv,13.09,0.3233,8535.59938004389,10.67246342,72.971,5.304,3.19,91.9439026594897,43.0004859885482,42.7,89.028,Unknown,Unknown,77.27272727272727,29.629629629629626,57.692307692307686,54.86488819822153,-37.272727272727266,13.09,0.3233,4.231997,0.23524705112232577
Argentina,A_baumannii_CARB,2017,A_baumannii,CARB,92.3076923076923,52.0,IST-Entasis_Acinetobacter-Surveillance_2016-2021.csv,12.57,0.2929,14532.5009308511,10.26057911,72.295,5.094,4.99,91.6776028433824,42.9825761047104,41.4,87.432,Unknown,Unknown,91.66666666666667,91.66666666666667,91.66666666666667,91.66666666666667,0.6410256410256352,12.57,0.2929,3.681753,0.22485576877325986
Argentina,A_baumannii_CARB,2018,A_baumannii,CARB,66.66666666666667,54.0,IST-Entasis_Acinetobacter-Surveillance_2016-2021.csv,12.2,0.3147,11752.7998922979,10.17289257,73.253,5.167,3.69,91.7679941327998,42.3613927774063,41.7,88.779,Unknown,Unknown,92.3076923076923,91.66666666666667,91.66666666666667,91.98717948717949,-25.641025641025635,12.2,0.3147,3.8393399999999995,0.22980070597210622
