country,year,total_DDD,watch_proportion,ses_risk_score,antibiotic_pressure_index
Belarus,2015,12.5,0.3028,0.4207527684837874,3.785
Belarus,2016,12.37,0.2899,0.4233913916058934,3.586063
Belarus,2017,12.0,0.3117,0.40722443759677285,3.7403999999999997
Belarus,2018,13.01,0.3071,0.4105309711855295,3.9953709999999996
Belarus,2019,12.89,0.3203,0.4141396364301252,4.128667
Belarus,2020,13.78,0.3098,0.40781707956383084,4.269044
Belarus,2021,13.38,0.3104,0.40332002071064665,4.153152
Belarus,2022,13.48,0.3173,0.40096343144058344,4.277204
Belarus,2023,13.75,0.3259,0.3996688874305272,4.4811250000000005
Belarus,2024,14.06,0.3195,0.3954040163968091,4.492170000000001
Belarus,2025,15.01,0.3187,0.3965667286007294,4.783687
Belarus,2026,13.97,0.3327,0.3949935853836254,4.647819
Belarus,2027,13.97,0.3346,0.39167766721720687,4.674362
Belarus,2028,15.39,0.3357,0.40262094587433495,5.166423
Belarus,2029,15.2,0.3175,0.39732171125103527,4.826
Belarus,2030,15.62,0.345,0.3694158601533899,5.3889
Belgium,2015,11.93,0.3151,0.40463372683566345,3.759143
Belgium,2016,12.11,0.2822,0.42678309897423067,3.417442
Belgium,2017,12.08,0.3023,0.4160083827372566,3.651784
Belgium,2018,13.14,0.3094,0.40913866656470554,4.065516000000001
Belgium,2019,13.07,0.2999,0.3991711879188706,3.919693
Belgium,2020,13.74,0.302,0.40337525380001865,4.14948
Belgium,2021,13.12,0.328,0.40421807219967104,4.30336
Belgium,2022,13.87,0.3217,0.40096343144058344,4.4619789999999995
Belgium,2023,14.25,0.3143,0.4005327913895974,4.478775000000001
Belgium,2024,13.99,0.3294,0.3901274347233836,4.608306000000001
Belgium,2025,14.15,0.3294,0.40202396634206794,4.66101
Belgium,2026,14.56,0.3171,0.38766115240859855,4.616976
Belgium,2027,15.19,0.3191,0.38298887197683995,4.847129
Belgium,2028,15.09,0.3357,0.369205090153253,5.065713
Belgium,2029,15.71,0.3268,0.3745888768865495,5.134028
Belgium,2030,15.18,0.34,0.3740036379042277,5.1612
