country,risk_score_2030,risk_tier,region,income_group,top_interventions
Poland,31.666162790697673,Medium,Unknown,Unknown,"Strengthen AMR surveillance network and data quality
Promote AWaRe-compliant formularies in primary care
Community awareness campaigns on antibiotic resistance"
Israel,24.0744,Low,Unknown,Unknown,"Maintain existing stewardship programmes and monitoring
Continue AMR surveillance reporting to WHO GLASS
Sustain environmental sanitation and WASH standards"
Turkey,22.011180555555555,Low,Unknown,Unknown,"Maintain existing stewardship programmes and monitoring
Continue AMR surveillance reporting to WHO GLASS
Sustain environmental sanitation and WASH standards"
Russia,21.41043795620438,Low,Unknown,Unknown,"Maintain existing stewardship programmes and monitoring
Continue AMR surveillance reporting to WHO GLASS
Sustain environmental sanitation and WASH standards"
Romania,20.909830508474577,Low,Unknown,Unknown,"Maintain existing stewardship programmes and monitoring
Continue AMR surveillance reporting to WHO GLASS
Sustain environmental sanitation and WASH standards"
Greece,18.961456953642383,Low,Unknown,Unknown,"Maintain existing stewardship programmes and monitoring
Continue AMR surveillance reporting to WHO GLASS
Sustain environmental sanitation and WASH standards"
Belarus,18.91111111111111,Low,Unknown,Unknown,"Maintain existing stewardship programmes and monitoring
Continue AMR surveillance reporting to WHO GLASS
Sustain environmental sanitation and WASH standards"
Portugal,18.752628205128204,Low,Unknown,Unknown,"Maintain existing stewardship programmes and monitoring
Continue AMR surveillance reporting to WHO GLASS
Sustain environmental sanitation and WASH standards"
Italy,16.771224489795916,Low,Unknown,Unknown,"Maintain existing stewardship programmes and monitoring
Continue AMR surveillance reporting to WHO GLASS
Sustain environmental sanitation and WASH standards"
Slovenia,15.99228187919463,Low,Unknown,Unknown,"Maintain existing stewardship programmes and monitoring
Continue AMR surveillance reporting to WHO GLASS
Sustain environmental sanitation and WASH standards"
Hungary,15.628163265306123,Low,Unknown,Unknown,"Maintain existing stewardship programmes and monitoring
Continue AMR surveillance reporting to WHO GLASS
Sustain environmental sanitation and WASH standards"
Belgium,15.120603015075377,Low,Unknown,Unknown,"Maintain existing stewardship programmes and monitoring
Continue AMR surveillance reporting to WHO GLASS
Sustain environmental sanitation and WASH standards"
Czech Republic,15.077484662576687,Low,Unknown,Unknown,"Maintain existing stewardship programmes and monitoring
Continue AMR surveillance reporting to WHO GLASS
Sustain environmental sanitation and WASH standards"
Spain,13.413207547169812,Low,Unknown,Unknown,"Maintain existing stewardship programmes and monitoring
Continue AMR surveillance reporting to WHO GLASS
Sustain environmental sanitation and WASH standards"
United Kingdom,13.241367521367522,Low,Western Europe,HI,"Maintain existing stewardship programmes and monitoring
Continue AMR surveillance reporting to WHO GLASS
Sustain environmental sanitation and WASH standards"
Ireland,13.067073170731707,Low,Unknown,Unknown,"Maintain existing stewardship programmes and monitoring
Continue AMR surveillance reporting to WHO GLASS
Sustain environmental sanitation and WASH standards"
France,12.876301886792453,Low,Western Europe,HI,"Maintain existing stewardship programmes and monitoring
Continue AMR surveillance reporting to WHO GLASS
Sustain environmental sanitation and WASH standards"
United States,11.04694589877836,Low,North America,HI,"Maintain existing stewardship programmes and monitoring
Continue AMR surveillance reporting to WHO GLASS
Sustain environmental sanitation and WASH standards"
Germany,10.519,Low,Western Europe,HI,"Maintain existing stewardship programmes and monitoring
Continue AMR surveillance reporting to WHO GLASS
Sustain environmental sanitation and WASH standards"
Sweden,9.416653992395437,Low,Unknown,Unknown,"Maintain existing stewardship programmes and monitoring
Continue AMR surveillance reporting to WHO GLASS
Sustain environmental sanitation and WASH standards"
