feature,importance
rolling3_mean_resistance,0.37252689224425267
delta_resistance,0.34151405042271954
lag1_resistance,0.1848065424555822
lag2_resistance,0.058338379187182196
lag3_resistance,0.0405541761373515
gini,0.0003600572364058778
lag1_total_DDD,0.0003330444318392665
urbanisation,0.0002497266070048677
water_access,0.00019847650792973302
antibiotic_pressure_index,0.00019256241515427263
physicians,0.0001794180163012904
ses_risk_score,0.00016580009657579962
sanitation,0.00015574879184999962
lag1_watch_proportion,0.00014998109443937975
health_expenditure,0.00014692566244698256
gdp_per_capita,0.00012821869296450044
