feature,importance
rolling3_mean_resistance,0.49396822927552403
lag1_resistance,0.10360008706801722
lag3_resistance,0.08999669995823939
lag2_resistance,0.06218817979988875
delta_resistance,0.056600826839630844
pathogen_enc,0.05239756110999849
gdp_per_capita,0.02923527241723545
drug_enc,0.018307574926797854
ses_risk_score,0.01701845517092167
sanitation,0.0153002236885148
country_enc,0.011784704936044181
year_norm,0.010680580761534757
antibiotic_pressure_index,0.01048667289319772
physicians,0.0101062461969823
lag1_total_DDD,0.009297993234198089
lag1_watch_proportion,0.009030691723274453
