country,combo,year,yhat,yhat_lower,yhat_upper,source
Belarus,A_baumannii_3GC,2024,84.06,71.61,89.18,xgboost
Belarus,A_baumannii_AMG,2024,85.9,63.08,96.28,xgboost
Belarus,A_baumannii_CARB,2024,0.0,0.0,8.61,xgboost
Belarus,A_baumannii_FQ,2024,97.31,83.08,100.0,xgboost
Belarus,A_baumannii_TET,2024,74.84,51.66,82.37,xgboost
Belarus,C_freundii_3GC,2024,5.37,5.0,8.83,xgboost
Belarus,C_freundii_AMG,2024,3.5,3.5,8.82,xgboost
Belarus,C_freundii_CARB,2024,0.0,0.0,8.61,xgboost
Belarus,C_freundii_FQ,2024,0.0,0.0,8.89,xgboost
Belarus,C_freundii_TET,2024,0.0,0.0,9.03,xgboost
Belarus,E_aerogenes_3GC,2024,0.0,0.0,22.44,xgboost
Belarus,E_aerogenes_AMG,2024,0.0,0.0,14.2,xgboost
Belarus,E_aerogenes_CARB,2024,0.0,0.0,8.61,xgboost
Belarus,E_aerogenes_FQ,2024,0.0,0.0,8.89,xgboost
Belarus,E_aerogenes_OTHER,2024,0.0,0.0,8.95,xgboost
Belarus,E_aerogenes_TET,2024,0.0,0.0,9.03,xgboost
Belarus,E_cloacae_3GC,2024,59.38,49.92,63.79,xgboost
Belarus,E_cloacae_AMG,2024,1.49,0.0,3.68,xgboost
Belarus,E_cloacae_CARB,2024,0.0,0.0,8.61,xgboost
Belarus,E_cloacae_FQ,2024,0.0,0.0,4.85,xgboost
Belarus,E_cloacae_OTHER,2024,0.0,0.0,8.95,xgboost
Belarus,E_cloacae_TET,2024,37.33,34.24,45.16,xgboost
Belarus,E_coli_3GC,2024,47.18,41.62,47.95,xgboost
Belarus,E_coli_AMG,2024,26.55,23.52,35.17,xgboost
Belarus,E_coli_CARB,2024,0.0,0.0,8.61,xgboost
Belarus,E_coli_FQ,2024,0.38,0.0,11.13,xgboost
Belarus,E_coli_OTHER,2024,0.0,0.0,8.95,xgboost
Belarus,E_coli_TET,2024,35.27,34.39,43.98,xgboost
Belarus,E_faecalis_AMG,2024,89.92,72.15,97.77,xgboost
Belarus,E_faecalis_AMP,2024,0.0,0.0,8.62,xgboost
Belarus,E_faecalis_FQ,2024,0.0,0.0,30.89,xgboost
Belarus,E_faecalis_TET,2024,86.74,55.41,86.74,xgboost
Belarus,E_faecalis_VAN,2024,0.0,0.0,9.0,xgboost
Belarus,E_faecium_AMG,2024,100.0,68.38,100.0,xgboost
Belarus,E_faecium_AMP,2024,100.0,68.0,100.0,xgboost
Belarus,E_faecium_FQ,2024,97.31,83.08,100.0,xgboost
Belarus,E_faecium_TET,2024,96.68,56.97,98.31,xgboost
Belarus,E_faecium_VAN,2024,0.0,0.0,9.0,xgboost
Belarus,H_influenzae_3GC,2024,5.37,5.0,8.83,xgboost
Belarus,H_influenzae_AMP,2024,0.0,0.0,8.62,xgboost
Belarus,H_influenzae_FQ,2024,0.0,0.0,8.89,xgboost
Belarus,H_influenzae_MAC,2024,0.0,0.0,8.95,xgboost
Belarus,H_influenzae_TET,2024,0.0,0.0,9.03,xgboost
Belarus,K_pneumoniae_3GC,2024,65.52,65.52,82.48,xgboost
Belarus,K_pneumoniae_AMG,2024,64.19,57.74,69.53,xgboost
Belarus,K_pneumoniae_CARB,2024,0.0,0.0,8.61,xgboost
Belarus,K_pneumoniae_FQ,2024,65.75,60.76,74.62,xgboost
Belarus,K_pneumoniae_OTHER,2024,0.0,0.0,8.95,xgboost
Belarus,K_pneumoniae_TET,2024,20.68,17.19,24.7,xgboost
Belarus,Klebsiella_oxytoca_3GC,2024,5.37,5.0,8.83,xgboost
Belarus,Klebsiella_oxytoca_AMG,2024,3.5,3.5,8.82,xgboost
Belarus,Klebsiella_oxytoca_CARB,2024,0.0,0.0,8.61,xgboost
Belarus,Klebsiella_oxytoca_FQ,2024,0.0,0.0,8.89,xgboost
Belarus,Klebsiella_oxytoca_OTHER,2024,0.0,0.0,8.95,xgboost
Belarus,Klebsiella_oxytoca_TET,2024,0.0,0.0,9.03,xgboost
Belarus,Klebsiella_variicola_3GC,2024,5.37,5.0,8.83,xgboost
Belarus,Klebsiella_variicola_AMG,2024,3.5,3.5,8.82,xgboost
Belarus,Klebsiella_variicola_CARB,2024,0.0,0.0,8.61,xgboost
Belarus,Klebsiella_variicola_FQ,2024,0.0,0.0,8.89,xgboost
Belarus,Klebsiella_variicola_OTHER,2024,0.0,0.0,8.95,xgboost
Belarus,Klebsiella_variicola_TET,2024,0.0,0.0,9.03,xgboost
Belarus,M_morganii_3GC,2024,5.37,5.0,8.83,xgboost
Belarus,M_morganii_AMG,2024,3.5,3.5,8.82,xgboost
Belarus,M_morganii_CARB,2024,0.0,0.0,8.61,xgboost
Belarus,M_morganii_FQ,2024,0.0,0.0,8.89,xgboost
Belarus,M_morganii_TET,2024,0.0,0.0,9.03,xgboost
Belarus,Moraxella_catarrhalis_3GC,2024,5.37,5.0,8.83,xgboost
Belarus,Moraxella_catarrhalis_FQ,2024,0.0,0.0,8.89,xgboost
Belarus,Moraxella_catarrhalis_MAC,2024,0.0,0.0,8.95,xgboost
Belarus,Moraxella_catarrhalis_TET,2024,0.0,0.0,9.03,xgboost
Belarus,P_aeruginosa_3GC,2024,50.43,42.95,50.43,xgboost
Belarus,P_aeruginosa_AMG,2024,53.72,47.85,53.72,xgboost
Belarus,P_aeruginosa_CARB,2024,0.0,0.0,8.61,xgboost
Belarus,P_aeruginosa_COL,2024,0.0,0.0,8.69,xgboost
Belarus,P_aeruginosa_FQ,2024,35.63,26.88,51.04,xgboost
Belarus,P_aeruginosa_TET,2024,99.25,93.11,100.0,xgboost
Belarus,P_mirabilis_3GC,2024,49.57,38.11,52.84,xgboost
Belarus,P_mirabilis_AMG,2024,28.52,21.52,35.54,xgboost
Belarus,P_mirabilis_CARB,2024,0.0,0.0,8.61,xgboost
Belarus,P_mirabilis_FQ,2024,97.54,55.34,100.0,xgboost
Belarus,P_mirabilis_OTHER,2024,0.0,0.0,8.95,xgboost
