feature,coefficient
lag1_resistance,25.745785773602794
delta_resistance,15.941590271548076
rolling3_mean_resistance,1.721809161654971
lag3_resistance,-0.5230251319450481
lag2_resistance,-0.3871367219853956
antibiotic_pressure_index,0.04080954433992359
lag1_total_DDD,-0.035000903712862526
lag1_watch_proportion,-0.018233309826556094
health_expenditure,0.009113836426401714
ses_risk_score,0.006080699076000504
gdp_per_capita,-0.005107340703401111
physicians,0.002181554351699814
gini,-0.002129369658378547
urbanisation,0.0018130767011556278
water_access,-0.0010854304237106283
sanitation,-0.0001838515812094242
