country,combo,year,pathogen,drug,resistance_pct,n_isolates,source_files,total_DDD,watch_proportion,gdp_per_capita,health_expenditure,sanitation,physicians,hospital_beds,urbanisation,agricultural_land,gini,water_access,income_group,region,lag1_resistance,lag2_resistance,lag3_resistance,rolling3_mean_resistance,delta_resistance,lag1_total_DDD,lag1_watch_proportion,antibiotic_pressure_index,ses_risk_score
Belarus,A_baumannii_3GC,2017,A_baumannii,3GC,91.66666666666667,12.0,Omadacycline_2015_to_2025_Surveillance_data.csv,12.0,0.3117,15100.028,5.866,72.823,1.508,2.376,59.333,,37.554,88.476,Unknown,Unknown,100.0,100.0,100.0,100.0,-8.333333333333329,12.0,0.3117,3.7403999999999997,0.40722443759677285
Belarus,A_baumannii_AMG,2017,A_baumannii,AMG,83.33333333333334,24.0,Omadacycline_2015_to_2025_Surveillance_data.csv,12.0,0.3117,15100.028,5.866,72.823,1.508,2.376,59.333,,37.554,88.476,Unknown,Unknown,81.81818181818183,81.81818181818183,81.81818181818183,81.81818181818183,1.5151515151515156,12.0,0.3117,3.7403999999999997,0.40722443759677285
Belarus,A_baumannii_CARB,2017,A_baumannii,CARB,0.0,12.0,Omadacycline_2015_to_2025_Surveillance_data.csv,12.0,0.3117,15100.028,5.866,72.823,1.508,2.376,59.333,,37.554,88.476,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,12.0,0.3117,3.7403999999999997,0.40722443759677285
Belarus,A_baumannii_FQ,2017,A_baumannii,FQ,100.0,12.0,Omadacycline_2015_to_2025_Surveillance_data.csv,12.0,0.3117,15100.028,5.866,72.823,1.508,2.376,59.333,,37.554,88.476,Unknown,Unknown,100.0,100.0,100.0,100.0,0.0,12.0,0.3117,3.7403999999999997,0.40722443759677285
Belarus,A_baumannii_TET,2017,A_baumannii,TET,66.66666666666666,24.0,Omadacycline_2015_to_2025_Surveillance_data.csv,12.0,0.3117,15100.028,5.866,72.823,1.508,2.376,59.333,,37.554,88.476,Unknown,Unknown,63.63636363636363,63.63636363636363,63.63636363636363,63.63636363636363,3.030303030303024,12.0,0.3117,3.7403999999999997,0.40722443759677285
Belarus,E_cloacae_3GC,2017,E_cloacae,3GC,55.555555555555564,9.0,Omadacycline_2015_to_2025_Surveillance_data.csv,12.0,0.3117,15100.028,5.866,72.823,1.508,2.376,59.333,,37.554,88.476,Unknown,Unknown,15.15151515151515,15.15151515151515,15.15151515151515,15.15151515151515,40.404040404040416,12.0,0.3117,3.7403999999999997,0.40722443759677285
Belarus,E_cloacae_3GC,2018,E_cloacae,3GC,58.333333333333336,12.0,Omadacycline_2015_to_2025_Surveillance_data.csv,13.01,0.3071,12877.603,6.251,75.091,1.308,2.453,59.145,,37.425,88.134,Unknown,Unknown,55.555555555555564,15.15151515151515,15.15151515151515,35.35353535353536,2.7777777777777715,13.01,0.3071,3.9953709999999996,0.4105309711855295
Belarus,E_cloacae_AMG,2017,E_cloacae,AMG,50.0,6.0,Omadacycline_2015_to_2025_Surveillance_data.csv,12.0,0.3117,15100.028,5.866,72.823,1.508,2.376,59.333,,37.554,88.476,Unknown,Unknown,4.545454545454546,4.545454545454546,4.545454545454546,4.545454545454546,45.45454545454545,12.0,0.3117,3.7403999999999997,0.40722443759677285
Belarus,E_cloacae_AMG,2018,E_cloacae,AMG,12.5,8.0,Omadacycline_2015_to_2025_Surveillance_data.csv,13.01,0.3071,12877.603,6.251,75.091,1.308,2.453,59.145,,37.425,88.134,Unknown,Unknown,50.0,4.545454545454546,4.545454545454546,27.272727272727273,-37.5,13.01,0.3071,3.9953709999999996,0.4105309711855295
Belarus,E_cloacae_CARB,2017,E_cloacae,CARB,0.0,3.0,Omadacycline_2015_to_2025_Surveillance_data.csv,12.0,0.3117,15100.028,5.866,72.823,1.508,2.376,59.333,,37.554,88.476,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,12.0,0.3117,3.7403999999999997,0.40722443759677285
