country,year,total_DDD,watch_proportion,ses_risk_score,antibiotic_pressure_index
India,2011,15.3,0.3668,0.5531814419011201,5.61204
India,2012,15.37,0.3559,0.5489003407834909,5.470183
India,2013,15.2,0.3797,0.5307001148463986,5.771439999999999
India,2014,16.41,0.3771,0.5223413854136704,6.188211
India,2015,16.49,0.3923,0.5155198807154008,6.469026999999999
India,2016,17.58,0.3838,0.5062841963485881,6.747203999999999
India,2017,17.38,0.3864,0.4996505910605263,6.715632
India,2018,17.68,0.3953,0.4912623348916828,6.988904
India,2019,18.15,0.4059,0.48090805735268366,7.367084999999999
India,2020,18.66,0.4015,0.48094439622647356,7.49199
India,2021,19.81,0.4027,0.4692543768718994,7.977486999999999
India,2022,18.97,0.4187,0.461453371787379,7.9427389999999995
India,2023,19.17,0.4226,0.45302297146404236,8.101242000000001
India,2024,20.79,0.4257,0.4529037429073648,8.850303
India,2025,20.8,0.4095,0.44942398232343483,8.5176
India,2026,21.42,0.439,0.43985465007094493,9.40338
India,2027,21.13,0.4591,0.4447911717427582,9.700783
India,2028,21.51,0.4282,0.41974749999999994,9.210582
India,2029,21.68,0.4503,0.4288838060569106,9.762504
India,2030,22.94,0.4594,0.4403683668770725,10.538636
