feature,importance
delta_resistance,0.5511150406581627
rolling3_mean_resistance,0.07605579837910126
lag1_resistance,0.06676614157532261
health_expenditure,0.03645080184394346
lag2_resistance,0.029584685029751923
lag3_resistance,0.019635894827237238
gini,0.010689420215593628
lag1_watch_proportion,0.004146051119100014
physicians,0.0015783647441094388
gdp_per_capita,0.0009913137471128503
ses_risk_score,0.0009059126803941445
water_access,0.0008809900182672194
antibiotic_pressure_index,0.0007707103602735623
sanitation,0.0002617165509362333
lag1_total_DDD,8.943885729501062e-05
urbanisation,7.771939339856445e-05
