feature,importance
drug_enc,0.24817748709126605
physicians,0.10604671076293437
antibiotic_pressure_index,0.06846724550842222
delta_resistance,0.06755864595313518
lag3_resistance,0.06044215675001392
lag1_total_DDD,0.058825054102855476
lag1_watch_proportion,0.05611968159721426
pathogen_enc,0.05563473259089851
rolling3_mean_resistance,0.053936040168798195
year_norm,0.05190249356171425
ses_risk_score,0.04543543139930524
gdp_per_capita,0.04418201428748479
lag2_resistance,0.04341096419546819
lag1_resistance,0.039861342030489376
sanitation,0.0
country_enc,0.0
