country,combo,year,yhat,yhat_lower,yhat_upper,source
India,A_baumannii_CARB,2024,55.86,2.98,86.17,xgboost
India,A_baumannii_COL,2024,45.76,3.26,45.76,xgboost
India,E_coli_CARB,2024,38.67,4.32,38.67,xgboost
India,E_coli_COL,2024,6.89,2.76,11.39,xgboost
India,K_pneumoniae_CARB,2024,20.41,3.74,24.84,xgboost
India,K_pneumoniae_COL,2024,7.23,4.09,10.87,xgboost
India,P_aeruginosa_CARB,2024,55.57,4.07,80.47,xgboost
India,P_aeruginosa_COL,2024,6.61,3.66,7.41,xgboost
India,A_baumannii_CARB,2025,19.46,2.37,55.76,xgboost
India,A_baumannii_COL,2025,36.65,4.23,41.93,xgboost
India,E_coli_CARB,2025,29.66,4.32,29.66,xgboost
India,E_coli_COL,2025,6.68,3.66,11.39,xgboost
India,K_pneumoniae_CARB,2025,22.6,3.9,24.35,xgboost
India,K_pneumoniae_COL,2025,9.19,3.26,12.57,xgboost
India,P_aeruginosa_CARB,2025,22.84,3.05,55.88,xgboost
India,P_aeruginosa_COL,2025,6.33,2.76,11.39,xgboost
India,A_baumannii_CARB,2026,19.2,2.61,30.43,xgboost
India,A_baumannii_COL,2026,23.9,3.74,27.69,xgboost
India,E_coli_CARB,2026,24.74,3.74,27.5,xgboost
India,E_coli_COL,2026,6.34,2.76,11.39,xgboost
India,K_pneumoniae_CARB,2026,24.72,5.27,24.72,xgboost
India,K_pneumoniae_COL,2026,8.99,3.61,16.55,xgboost
India,P_aeruginosa_CARB,2026,19.2,2.61,30.43,xgboost
India,P_aeruginosa_COL,2026,6.34,2.76,11.39,xgboost
India,A_baumannii_CARB,2027,21.67,4.36,24.27,xgboost
India,A_baumannii_COL,2027,20.13,3.73,25.35,xgboost
India,E_coli_CARB,2027,21.85,3.9,25.19,xgboost
India,E_coli_COL,2027,6.4,2.76,11.39,xgboost
India,K_pneumoniae_CARB,2027,26.1,5.27,26.1,xgboost
India,K_pneumoniae_COL,2027,13.66,2.73,16.55,xgboost
India,P_aeruginosa_CARB,2027,20.62,3.87,24.27,xgboost
India,P_aeruginosa_COL,2027,6.33,2.76,11.39,xgboost
India,A_baumannii_CARB,2028,24.62,5.27,24.62,xgboost
India,A_baumannii_COL,2028,22.56,3.9,24.39,xgboost
India,E_coli_CARB,2028,22.54,3.9,24.89,xgboost
India,E_coli_COL,2028,6.39,2.76,11.39,xgboost
India,K_pneumoniae_CARB,2028,28.32,5.27,28.32,xgboost
India,K_pneumoniae_COL,2028,17.43,3.26,17.43,xgboost
India,P_aeruginosa_CARB,2028,24.67,5.27,24.67,xgboost
India,P_aeruginosa_COL,2028,6.34,2.76,11.39,xgboost
India,A_baumannii_CARB,2029,24.62,5.27,24.62,xgboost
India,A_baumannii_COL,2029,23.9,5.27,24.51,xgboost
India,E_coli_CARB,2029,24.4,4.39,24.51,xgboost
India,E_coli_COL,2029,6.34,2.76,11.39,xgboost
India,K_pneumoniae_CARB,2029,27.97,5.27,27.97,xgboost
India,K_pneumoniae_COL,2029,19.04,4.32,19.04,xgboost
India,P_aeruginosa_CARB,2029,24.91,4.32,24.91,xgboost
India,P_aeruginosa_COL,2029,6.33,2.76,11.39,xgboost
India,A_baumannii_CARB,2030,24.4,4.39,24.51,xgboost
India,A_baumannii_COL,2030,23.95,5.27,24.51,xgboost
India,E_coli_CARB,2030,24.72,5.27,24.72,xgboost
India,E_coli_COL,2030,6.34,2.76,11.39,xgboost
India,K_pneumoniae_CARB,2030,27.71,4.39,27.71,xgboost
