country,combo,year,pathogen,drug,resistance_pct,n_isolates,source_files,total_DDD,watch_proportion,gdp_per_capita,health_expenditure,sanitation,physicians,hospital_beds,urbanisation,agricultural_land,gini,water_access,income_group,region,lag1_resistance,lag2_resistance,lag3_resistance,rolling3_mean_resistance,delta_resistance,lag1_total_DDD,lag1_watch_proportion,antibiotic_pressure_index,ses_risk_score
India,A_baumannii_CARB,2011,A_baumannii,CARB,,,,15.3,0.3668,1445.46127486037,3.24634218,33.0857250207378,0.553,1.79,31.2746502853309,60.4300431523044,28.8,87.0106732998892,LMI,South/SE Asia,,,,,0.0,,,,0.5531814419011201
India,A_baumannii_CARB,2012,A_baumannii,CARB,6.666666666666667,15.0,PLEA Study I (n=3150)_updated.csv,15.37,0.3559,1429.32199520032,3.32935286,35.4090273871556,0.506,1.76,31.5898935604399,60.4206256579633,35.471,87.6951918936397,LMI,South/SE Asia,,,,,0.0,15.37,0.3559,5.470183,0.5489003407834909
India,A_baumannii_CARB,2013,A_baumannii,CARB,,,,15.2,0.3797,1432.84397512195,3.74944186,37.7509186633857,0.707,1.74,31.9096789235237,60.4394606466455,34.949,88.3781430142448,LMI,South/SE Asia,6.666666666666667,6.666666666666667,6.666666666666667,6.666666666666667,0.0,15.2,0.3797,5.771439999999999,0.5307001148463986
India,A_baumannii_CARB,2014,A_baumannii,CARB,26.035965598123536,1279.0,PLEA Study I (n=3150)_updated.csv,16.41,0.3771,1553.88396075118,3.61956549,40.1070723094129,0.715,1.72,32.2288233408821,60.4495508191538,34.628,89.0593975763785,LMI,South/SE Asia,,6.666666666666667,6.666666666666667,6.666666666666667,0.0,16.41,0.3771,6.188211,0.5223413854136704
India,A_baumannii_CARB,2015,A_baumannii,CARB,54.73145780051151,391.0,PLEA Study I (n=3150)_updated.csv,16.49,0.3923,1583.99815907985,3.59565973,42.4769302561278,0.723,1.7,32.5472990022299,60.4317248477225,34.998,89.7387066732488,LMI,South/SE Asia,26.035965598123536,26.035965598123536,6.666666666666667,16.3513161323951,28.69549220238797,16.49,0.3923,6.469026999999999,0.5155198807154008
India,A_baumannii_CARB,2016,A_baumannii,CARB,86.08695652173914,345.0,PLEA Study I (n=3150)_updated.csv,17.58,0.3838,1707.50892912243,3.50430417,44.8599379840837,0.748,1.68,32.8650780972823,60.3990999566123,36.337,90.4158282525921,LMI,South/SE Asia,54.73145780051151,26.035965598123536,26.035965598123536,40.38371169931752,31.355498721227633,17.58,0.3838,6.747203999999999,0.5062841963485881
India,A_baumannii_CARB,2017,A_baumannii,CARB,,,,17.38,0.3864,1950.10468280866,2.93597651,47.2396698437666,0.766,1.66,33.1821328157539,60.2840719900175,36.142,91.0905825625786,LMI,South/SE Asia,86.08695652173914,54.73145780051151,26.035965598123536,55.61812664012473,0.0,17.38,0.3864,6.715632,0.4996505910605263
India,A_baumannii_CARB,2018,A_baumannii,CARB,,,,17.68,0.3953,1966.25455171679,2.8584938,49.5806533887087,0.84,1.64,33.4984353473598,60.2437112999842,34.773,91.7626505318817,LMI,South/SE Asia,,86.08695652173914,54.73145780051151,70.40920716112532,0.0,17.68,0.3953,6.988904,0.4912623348916828
India,A_baumannii_CARB,2019,A_baumannii,CARB,,,,18.15,0.4059,2041.42863698585,2.95299792,51.9223137988177,0.889,1.62,33.8139578818147,60.2198312250478,34.734,92.4317828217009,LMI,South/SE Asia,,,86.08695652173914,86.08695652173914,0.0,18.15,0.4059,7.367084999999999,0.48090805735268366
India,A_baumannii_CARB,2020,A_baumannii,CARB,,,,18.66,0.4015,1907.04251637669,3.34146094,54.1679248186604,0.723,1.61,34.1286726088333,60.0459439188212,35.932,93.0977309081783,LMI,South/SE Asia,,,,,0.0,18.66,0.4015,7.49199,0.48094439622647356
