country,combo,year,rf_forecast
India,A_baumannii_CARB,2024,49.89
India,A_baumannii_COL,2024,38.52
India,E_coli_CARB,2024,24.02
India,E_coli_COL,2024,6.63
India,K_pneumoniae_CARB,2024,16.09
India,K_pneumoniae_COL,2024,6.41
India,P_aeruginosa_CARB,2024,49.82
India,P_aeruginosa_COL,2024,6.54
India,A_baumannii_CARB,2025,16.15
India,A_baumannii_COL,2025,19.62
India,E_coli_CARB,2025,16.09
India,E_coli_COL,2025,7.43
India,K_pneumoniae_CARB,2025,16.15
India,K_pneumoniae_COL,2025,7.29
India,P_aeruginosa_CARB,2025,16.09
India,P_aeruginosa_COL,2025,7.11
India,A_baumannii_CARB,2026,16.15
India,A_baumannii_COL,2026,16.18
India,E_coli_CARB,2026,16.15
India,E_coli_COL,2026,8.1
India,K_pneumoniae_CARB,2026,16.19
India,K_pneumoniae_COL,2026,7.96
India,P_aeruginosa_CARB,2026,16.15
India,P_aeruginosa_COL,2026,8.64
India,A_baumannii_CARB,2027,16.19
India,A_baumannii_COL,2027,16.18
India,E_coli_CARB,2027,16.19
India,E_coli_COL,2027,10.12
India,K_pneumoniae_CARB,2027,16.01
India,K_pneumoniae_COL,2027,10.12
India,P_aeruginosa_CARB,2027,16.19
India,P_aeruginosa_COL,2027,10.16
India,A_baumannii_CARB,2028,16.01
India,A_baumannii_COL,2028,16.19
India,E_coli_CARB,2028,16.01
India,E_coli_COL,2028,10.81
India,K_pneumoniae_CARB,2028,16.03
India,K_pneumoniae_COL,2028,10.83
India,P_aeruginosa_CARB,2028,16.01
India,P_aeruginosa_COL,2028,10.72
India,A_baumannii_CARB,2029,16.03
India,A_baumannii_COL,2029,16.01
India,E_coli_CARB,2029,16.03
India,E_coli_COL,2029,11.29
India,K_pneumoniae_CARB,2029,16.01
India,K_pneumoniae_COL,2029,11.29
India,P_aeruginosa_CARB,2029,16.03
India,P_aeruginosa_COL,2029,11.29
India,A_baumannii_CARB,2030,16.01
India,A_baumannii_COL,2030,16.03
India,E_coli_CARB,2030,16.01
India,E_coli_COL,2030,11.3
India,K_pneumoniae_CARB,2030,16.01
India,K_pneumoniae_COL,2030,11.3
India,P_aeruginosa_CARB,2030,16.01
India,P_aeruginosa_COL,2030,11.36
