feature,coefficient
delta_resistance,22.006317170099067
lag1_resistance,15.707805913685377
rolling3_mean_resistance,6.002242927250594
lag3_resistance,-1.8858278337091239
lag2_resistance,-1.1216500861177874
physicians,-0.6282423768527075
sanitation,0.6250514385383394
urbanisation,0.6221826316387132
water_access,0.6220966239631225
health_expenditure,-0.6108531179234385
lag1_total_DDD,-0.5824904046049394
gini,0.3966986756044439
antibiotic_pressure_index,-0.3814634368612208
gdp_per_capita,-0.19826740563770842
ses_risk_score,-0.1668154837487069
lag1_watch_proportion,0.027788989299151242
