country,year,total_DDD,watch_proportion,ses_risk_score,antibiotic_pressure_index
India,2018,18.1,0.4018,0.4840251366895352,7.2725800000000005
India,2019,18.17,0.3909,0.4736350751783409,7.102653000000001
India,2020,18.0,0.4147,0.47373636009469344,7.4646
India,2021,19.21,0.4121,0.4630530239232807,7.916441000000001
India,2022,19.29,0.4273,0.4540471656722401,8.242617
India,2023,20.38,0.4188,0.44494528722117177,8.535143999999999
India,2024,20.18,0.4214,0.4378161116433438,8.503852
India,2025,20.48,0.4303,0.4464965843058928,8.812544
India,2026,20.95,0.4409,0.43862357335079327,9.236855
India,2027,21.46,0.4365,0.42667750000000004,9.36729
India,2028,22.61,0.4377,0.4332024418941517,9.896396999999999
India,2029,21.77,0.4537,0.43863128555218195,9.877049
India,2030,21.97,0.4576,0.43006130196128545,10.053472
