country,combo,year,yhat,yhat_lower,yhat_upper,source
India,Acinetobacter_spp_COL,2024,0.0,0.0,0.0,xgboost
India,E_coli_COL,2024,0.0,0.0,0.0,xgboost
India,Klesiella_spp_COL,2024,0.0,0.0,0.0,xgboost
India,Pseudoman_sp_COL,2024,0.0,0.0,0.0,xgboost
India,Acinetobacter_spp_COL,2025,0.0,0.0,0.0,xgboost
India,E_coli_COL,2025,0.0,0.0,0.0,xgboost
India,Klesiella_spp_COL,2025,0.0,0.0,0.0,xgboost
India,Pseudoman_sp_COL,2025,0.0,0.0,0.0,xgboost
India,Acinetobacter_spp_COL,2026,0.0,0.0,0.0,xgboost
India,E_coli_COL,2026,0.0,0.0,0.0,xgboost
India,Klesiella_spp_COL,2026,0.0,0.0,0.0,xgboost
India,Pseudoman_sp_COL,2026,0.0,0.0,0.0,xgboost
India,Acinetobacter_spp_COL,2027,0.0,0.0,0.0,xgboost
India,E_coli_COL,2027,0.0,0.0,0.0,xgboost
India,Klesiella_spp_COL,2027,0.0,0.0,0.0,xgboost
India,Pseudoman_sp_COL,2027,0.0,0.0,0.0,xgboost
India,Acinetobacter_spp_COL,2028,0.0,0.0,0.0,xgboost
India,E_coli_COL,2028,0.0,0.0,0.0,xgboost
India,Klesiella_spp_COL,2028,0.0,0.0,0.0,xgboost
India,Pseudoman_sp_COL,2028,0.0,0.0,0.0,xgboost
India,Acinetobacter_spp_COL,2029,0.0,0.0,0.0,xgboost
India,E_coli_COL,2029,0.0,0.0,0.0,xgboost
India,Klesiella_spp_COL,2029,0.0,0.0,0.0,xgboost
India,Pseudoman_sp_COL,2029,0.0,0.0,0.0,xgboost
India,Acinetobacter_spp_COL,2030,0.0,0.0,0.0,xgboost
India,E_coli_COL,2030,0.0,0.0,0.0,xgboost
India,Klesiella_spp_COL,2030,0.0,0.0,0.0,xgboost
India,Pseudoman_sp_COL,2030,0.0,0.0,0.0,xgboost
India,Acinetobacter_spp_COL,2018,9.67741935483871,,,xgboost_fitted
India,Acinetobacter_spp_COL,2019,0.0,,,xgboost_fitted
India,Acinetobacter_spp_COL,2020,0.0,,,xgboost_fitted
India,Acinetobacter_spp_COL,2021,,,,xgboost_fitted
India,Acinetobacter_spp_COL,2022,,,,xgboost_fitted
India,Acinetobacter_spp_COL,2023,,,,xgboost_fitted
India,E_coli_COL,2018,5.714285714285714,,,xgboost_fitted
India,E_coli_COL,2019,0.0,,,xgboost_fitted
India,E_coli_COL,2020,,,,xgboost_fitted
India,E_coli_COL,2021,,,,xgboost_fitted
India,E_coli_COL,2022,,,,xgboost_fitted
India,E_coli_COL,2023,,,,xgboost_fitted
India,Klesiella_spp_COL,2018,3.389830508474576,,,xgboost_fitted
India,Klesiella_spp_COL,2019,,,,xgboost_fitted
India,Klesiella_spp_COL,2020,,,,xgboost_fitted
India,Klesiella_spp_COL,2021,,,,xgboost_fitted
India,Klesiella_spp_COL,2022,,,,xgboost_fitted
India,Klesiella_spp_COL,2023,,,,xgboost_fitted
India,Pseudoman_sp_COL,2018,23.076923076923077,,,xgboost_fitted
India,Pseudoman_sp_COL,2019,0.0,,,xgboost_fitted
India,Pseudoman_sp_COL,2020,0.0,,,xgboost_fitted
India,Pseudoman_sp_COL,2021,,,,xgboost_fitted
India,Pseudoman_sp_COL,2022,,,,xgboost_fitted
India,Pseudoman_sp_COL,2023,,,,xgboost_fitted
