country,year,total_DDD,watch_proportion,ses_risk_score,antibiotic_pressure_index
Argentina,2013,12.1,0.2968,0.29331947577832684,3.59128
Argentina,2014,11.97,0.2839,0.2951829330158009,3.398283
Argentina,2015,11.6,0.3057,0.28534076889795595,3.54612
Argentina,2016,12.61,0.3011,0.28956876043656216,3.7968709999999994
Argentina,2017,12.49,0.3143,0.2296545824232467,3.9256070000000003
Argentina,2018,13.38,0.3038,0.2247860939582138,4.064844000000001
Argentina,2019,12.98,0.3044,0.23245738938832583,3.951112
Argentina,2020,13.08,0.3113,0.22723867588251395,4.071804
Argentina,2021,13.35,0.3199,0.21842117333904182,4.270665
Argentina,2022,13.66,0.3135,0.21946523165138843,4.2824100000000005
Argentina,2023,14.61,0.3127,0.21678921917005134,4.568547
Argentina,2024,13.57,0.3267,0.39592222366909047,4.433319
Argentina,2025,13.57,0.3286,0.3933194922963349,4.459102000000001
Argentina,2026,14.99,0.3297,0.4000846935986632,4.942203
Argentina,2027,14.8,0.3115,0.396286042793917,4.6102
Argentina,2028,15.22,0.339,0.3754564986120916,5.159580000000001
Argentina,2029,14.73,0.3571,0.3943605583876839,5.260083
Argentina,2030,14.91,0.3242,0.35858931560164153,4.833822
Australia,2013,11.28,0.2903,0.20120760048613306,3.274584
Australia,2014,12.34,0.2974,0.18977107696512024,3.6699159999999997
Australia,2015,12.27,0.2879,0.18730064898202428,3.532533
Australia,2016,12.94,0.29,0.188649753888756,3.7525999999999997
Australia,2017,12.32,0.316,0.18191977523258063,3.89312
Australia,2018,13.07,0.3097,0.1773007227907447,4.047778999999999
Australia,2019,13.45,0.3023,0.1733577115294857,4.065935
Australia,2020,13.19,0.3174,0.16700502973448805,4.186506
Australia,2021,13.35,0.3174,0.1606607252655305,4.23729
Australia,2022,13.76,0.3051,0.16014712335341375,4.198176
Australia,2023,14.39,0.3071,0.25744429384510925,4.419169
Australia,2024,14.29,0.3237,0.38846025272999835,4.625673
Australia,2025,14.91,0.3148,0.3876559846977202,4.693668000000001
Australia,2026,14.38,0.328,0.38652516177599805,4.716640000000001
Australia,2027,14.87,0.3407,0.3785630862288124,5.066209
Australia,2028,15.12,0.3352,0.38172353453251406,5.068224
Australia,2029,15.61,0.359,0.39958832744159956,5.60399
Australia,2030,14.86,0.3409,0.376262306163464,5.065773999999999
Austria,2013,12.3,0.2909,0.40721309538871653,3.5780700000000003
Austria,2014,12.77,0.2897,0.417897559360754,3.699469
Austria,2015,11.99,0.3047,0.41835081991694534,3.6533530000000005
Austria,2016,11.49,0.2942,0.40492524482993064,3.380358
Austria,2017,13.75,0.3023,0.4060185050539067,4.156625
Austria,2018,13.14,0.2955,0.3964098950883078,3.88287
Austria,2019,13.19,0.3066,0.4033901383280408,4.044054
Austria,2020,14.14,0.3009,0.400370640631006,4.254726
Austria,2021,12.5,0.3181,0.4011307867976601,3.97625
Austria,2022,14.42,0.3101,0.3988710938470904,4.471642
Austria,2023,13.27,0.3093,0.3966398205928492,4.104411
Austria,2024,14.37,0.3174,0.3881747265148894,4.561038
Austria,2025,14.42,0.3024,0.39968426138015833,4.360608
Austria,2026,14.39,0.3369,0.3972809749272228,4.8479909999999995
Austria,2027,14.69,0.3218,0.3764307679005562,4.7272419999999995
Austria,2028,15.42,0.3449,0.39895815636570076,5.318358
Austria,2029,15.01,0.3306,0.37958031150901506,4.962306
Austria,2030,15.91,0.3355,0.38950045028363683,5.337805
Belgium,2013,11.93,0.308,0.44074322017389134,3.6744399999999997
Belgium,2014,12.27,0.288,0.41895756777910736,3.5337599999999996
Belgium,2015,11.61,0.2964,0.4250819300265073,3.441204
Belgium,2016,12.57,0.2928,0.4356748759897481,3.680496
Belgium,2017,13.17,0.2891,0.41823582766724754,3.8074470000000002
Belgium,2018,12.37,0.2971,0.40066860801956194,3.6751269999999994
Belgium,2019,13.18,0.2927,0.4091111279962988,3.857786
Belgium,2020,12.92,0.3022,0.40486180157551943,3.904424
Belgium,2021,13.56,0.3063,0.40386149763114465,4.153428000000001
Belgium,2022,14.16,0.2941,0.3988710938470904,4.1644559999999995
Belgium,2023,14.13,0.3132,0.39340451442146174,4.425516
Belgium,2024,14.35,0.3418,0.3932484733111419,4.90483
Belgium,2025,14.33,0.327,0.39648099247157564,4.68591
Belgium,2026,14.9,0.3148,0.3953818170748389,4.69052
Belgium,2027,15.03,0.3392,0.4006197992013282,5.098176
Belgium,2028,14.91,0.3406,0.393258584280383,5.078346000000001
Belgium,2029,15.21,0.3295,0.3648859880332676,5.0116950000000005
