country,risk_score_2030,risk_tier,region,income_group,top_interventions
Nigeria,88.2825,Critical,Sub-Saharan Africa,LMI,"URGENT: Declare national AMR emergency and activate crisis response plan
Immediately restrict OTC antibiotic sales -- mandatory prescription required
Deploy WHO-supported antimicrobial stewardship programmes in all hospitals"
Mexico,75.1375,Critical,Latin America,UMI,"URGENT: Declare national AMR emergency and activate crisis response plan
Immediately restrict OTC antibiotic sales -- mandatory prescription required
Deploy WHO-supported antimicrobial stewardship programmes in all hospitals"
Colombia,68.2675,Critical,Unknown,Unknown,"URGENT: Declare national AMR emergency and activate crisis response plan
Immediately restrict OTC antibiotic sales -- mandatory prescription required
Deploy WHO-supported antimicrobial stewardship programmes in all hospitals"
South Africa,62.1425,High,Sub-Saharan Africa,UMI,"Implement national antibiotic stewardship action plan within 12 months
Restrict Watch-group antibiotic prescribing to specialist approval
Mandatory reporting of AMR surveillance data to national authority"
Guatemala,52.11,High,Unknown,Unknown,"Implement national antibiotic stewardship action plan within 12 months
Restrict Watch-group antibiotic prescribing to specialist approval
Mandatory reporting of AMR surveillance data to national authority"
Israel,50.76,High,Unknown,Unknown,"Implement national antibiotic stewardship action plan within 12 months
Restrict Watch-group antibiotic prescribing to specialist approval
Mandatory reporting of AMR surveillance data to national authority"
Poland,45.09916666666666,High,Unknown,Unknown,"Implement national antibiotic stewardship action plan within 12 months
Restrict Watch-group antibiotic prescribing to specialist approval
Mandatory reporting of AMR surveillance data to national authority"
China,43.462500000000006,Medium,East Asia,UMI,"Strengthen AMR surveillance network and data quality
Promote AWaRe-compliant formularies in primary care
Community awareness campaigns on antibiotic resistance"
Malaysia,42.92,Medium,Unknown,Unknown,"Strengthen AMR surveillance network and data quality
Promote AWaRe-compliant formularies in primary care
Community awareness campaigns on antibiotic resistance"
France,38.61362831858407,Medium,Western Europe,HI,"Strengthen AMR surveillance network and data quality
Promote AWaRe-compliant formularies in primary care
Community awareness campaigns on antibiotic resistance"
Italy,38.42299065420561,Medium,Unknown,Unknown,"Strengthen AMR surveillance network and data quality
Promote AWaRe-compliant formularies in primary care
Community awareness campaigns on antibiotic resistance"
Dominican Republic,38.400000000000006,Medium,Unknown,Unknown,"Strengthen AMR surveillance network and data quality
Promote AWaRe-compliant formularies in primary care
Community awareness campaigns on antibiotic resistance"
Russia,38.35,Medium,Unknown,Unknown,"Strengthen AMR surveillance network and data quality
Promote AWaRe-compliant formularies in primary care
Community awareness campaigns on antibiotic resistance"
