feature,importance
rolling3_mean_resistance,0.6857344167399264
delta_resistance,0.16606052495829673
lag1_resistance,0.08256940367027411
lag2_resistance,0.03328225355653235
lag3_resistance,0.03021864863125907
urbanisation,0.0003392445601407892
lag1_total_DDD,0.00026060111195942085
gini,0.0002439382364094002
antibiotic_pressure_index,0.0002350546409747247
health_expenditure,0.00020200262999134542
gdp_per_capita,0.00017556024551353445
lag1_watch_proportion,0.00015534524967737162
ses_risk_score,0.00015256218918628187
sanitation,0.0001349612472319625
physicians,0.0001302551726450748
water_access,0.00010522715998155197
