feature,importance
rolling3_mean_resistance,0.3118958751027713
lag1_resistance,0.18612152235385157
delta_resistance,0.10946366849672877
drug_enc,0.07185118790954995
lag2_resistance,0.043422311004455524
sanitation,0.03654996438854218
lag3_resistance,0.035906181448931776
pathogen_enc,0.035618857862338586
gdp_per_capita,0.03424190489886968
country_enc,0.0241169124113875
ses_risk_score,0.023010429010324553
physicians,0.020218549497395214
antibiotic_pressure_index,0.017974729550829766
lag1_total_DDD,0.01697194454368868
lag1_watch_proportion,0.016865773861823172
year_norm,0.015770187658511813
