country,combo,year,rf_forecast
Argentina,Providencia_spp_3GC,2024,0.0
Argentina,Providencia_spp_CARB,2024,0.0
Argentina,Providencia_spp_COL,2024,100.0
Argentina,Providencia_spp_FQ,2024,0.1
Australia,Providencia_spp_3GC,2024,0.0
Australia,Providencia_spp_CARB,2024,0.0
Australia,Providencia_spp_COL,2024,100.0
Australia,Providencia_spp_FQ,2024,0.0
Austria,M_morganii_3GC,2024,0.0
Austria,M_morganii_CARB,2024,0.0
Austria,M_morganii_COL,2024,99.92
Austria,M_morganii_FQ,2024,31.89
Austria,P_mirabilis_3GC,2024,0.0
Austria,P_mirabilis_CARB,2024,0.0
Austria,P_mirabilis_COL,2024,99.92
Austria,P_mirabilis_FQ,2024,0.0
Austria,Providencia_spp_3GC,2024,0.0
Austria,Providencia_spp_CARB,2024,0.0
Austria,Providencia_spp_COL,2024,99.92
Austria,Providencia_spp_FQ,2024,0.0
Belgium,M_morganii_3GC,2024,0.0
Belgium,M_morganii_CARB,2024,0.0
Belgium,M_morganii_COL,2024,99.92
Belgium,M_morganii_FQ,2024,42.89
Belgium,P_mirabilis_3GC,2024,0.0
Belgium,P_mirabilis_CARB,2024,0.0
Belgium,P_mirabilis_COL,2024,99.9
Belgium,P_mirabilis_FQ,2024,29.1
Belgium,Providencia_spp_3GC,2024,0.0
Belgium,Providencia_spp_CARB,2024,0.0
Belgium,Providencia_spp_COL,2024,100.0
Belgium,Providencia_spp_FQ,2024,0.0
Brazil,Providencia_spp_3GC,2024,0.0
Brazil,Providencia_spp_CARB,2024,0.0
Brazil,Providencia_spp_COL,2024,99.92
Brazil,Providencia_spp_FQ,2024,1.48
Canada,A_baumannii_3GC,2024,2.45
Canada,A_baumannii_AMP,2024,12.3
Canada,A_baumannii_CARB,2024,21.66
Canada,A_baumannii_COL,2024,8.24
Canada,A_baumannii_FQ,2024,22.94
Canada,A_baumannii_TET,2024,9.09
Canada,A_baumannii_TMP_SMX,2024,10.35
Canada,Acinetobacter__non_speciated_3GC,2024,25.98
Canada,Acinetobacter__non_speciated_CARB,2024,0.0
Canada,Acinetobacter__non_speciated_COL,2024,0.0
Canada,Acinetobacter__non_speciated_FQ,2024,0.0
Canada,B_cepacia_3GC,2024,0.01
Canada,B_cepacia_AMP,2024,99.87
Canada,B_cepacia_CARB,2024,31.76
Canada,B_cepacia_COL,2024,99.92
