feature,coefficient
lag1_resistance,32.98674545196997
delta_resistance,14.66759941442707
rolling3_mean_resistance,3.3540567723109596
lag3_resistance,-1.0276875358089863
lag2_resistance,-0.8406236250523313
ses_risk_score,0.06499573254229157
antibiotic_pressure_index,-0.0576175701084153
lag1_watch_proportion,0.037956575528574205
lag1_total_DDD,0.034708433592221775
physicians,0.027536028844674963
health_expenditure,0.02741591749433413
sanitation,0.016240687654799295
gini,-0.014106228552056406
gdp_per_capita,0.007244696455765139
urbanisation,-0.0018239746842466723
water_access,0.0007584263094237728
