country,combo,year,pathogen,drug,resistance_pct,n_isolates,source_files,total_DDD,watch_proportion,gdp_per_capita,health_expenditure,sanitation,physicians,hospital_beds,urbanisation,agricultural_land,gini,water_access,income_group,region,lag1_resistance,lag2_resistance,lag3_resistance,rolling3_mean_resistance,delta_resistance,lag1_total_DDD,lag1_watch_proportion,antibiotic_pressure_index,ses_risk_score
Argentina,Providencia_spp_3GC,2014,Providencia_spp,3GC,0.0,16.0,Updated_Shionogi Five year SIDERO-WT Surveillance data(without strain number)_Vivli_220409.csv,11.97,0.2839,12233.1444119186,9.79773045,48.9746773378846,4.925,4.84,91.3975345472954,44.1959177327355,41.8,98.9232481866542,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,11.97,0.2839,3.398283,0.2951829330158009
Argentina,Providencia_spp_3GC,2015,Providencia_spp,3GC,0.0,4.0,Updated_Shionogi Five year SIDERO-WT Surveillance data(without strain number)_Vivli_220409.csv,11.6,0.3057,13679.6264980954,10.27364159,48.7629462708609,4.98,4.95,91.4923019108628,44.1239360687546,37.377,98.9823076742804,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,11.6,0.3057,3.54612,0.28534076889795595
Argentina,Providencia_spp_3GC,2016,Providencia_spp,3GC,0.0,8.0,Updated_Shionogi Five year SIDERO-WT Surveillance data(without strain number)_Vivli_220409.csv,12.61,0.3011,12699.9623137756,10.05355549,48.5396557191852,5.024,4.94,91.5856817228217,43.4324236577764,42.3,99.0413738458383,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,12.61,0.3011,3.7968709999999994,0.28956876043656216
Argentina,Providencia_spp_CARB,2014,Providencia_spp,CARB,0.0,4.0,Updated_Shionogi Five year SIDERO-WT Surveillance data(without strain number)_Vivli_220409.csv,11.97,0.2839,12233.1444119186,9.79773045,48.9746773378846,4.925,4.84,91.3975345472954,44.1959177327355,41.8,98.9232481866542,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,11.97,0.2839,3.398283,0.2951829330158009
Argentina,Providencia_spp_CARB,2015,Providencia_spp,CARB,0.0,1.0,Updated_Shionogi Five year SIDERO-WT Surveillance data(without strain number)_Vivli_220409.csv,11.6,0.3057,13679.6264980954,10.27364159,48.7629462708609,4.98,4.95,91.4923019108628,44.1239360687546,37.377,98.9823076742804,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,11.6,0.3057,3.54612,0.28534076889795595
Argentina,Providencia_spp_CARB,2016,Providencia_spp,CARB,0.0,2.0,Updated_Shionogi Five year SIDERO-WT Surveillance data(without strain number)_Vivli_220409.csv,12.61,0.3011,12699.9623137756,10.05355549,48.5396557191852,5.024,4.94,91.5856817228217,43.4324236577764,42.3,99.0413738458383,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,12.61,0.3011,3.7968709999999994,0.28956876043656216
Argentina,Providencia_spp_COL,2014,Providencia_spp,COL,100.0,4.0,Updated_Shionogi Five year SIDERO-WT Surveillance data(without strain number)_Vivli_220409.csv,11.97,0.2839,12233.1444119186,9.79773045,48.9746773378846,4.925,4.84,91.3975345472954,44.1959177327355,41.8,98.9232481866542,Unknown,Unknown,100.0,100.0,100.0,100.0,0.0,11.97,0.2839,3.398283,0.2951829330158009
Argentina,Providencia_spp_COL,2015,Providencia_spp,COL,100.0,1.0,Updated_Shionogi Five year SIDERO-WT Surveillance data(without strain number)_Vivli_220409.csv,11.6,0.3057,13679.6264980954,10.27364159,48.7629462708609,4.98,4.95,91.4923019108628,44.1239360687546,37.377,98.9823076742804,Unknown,Unknown,100.0,100.0,100.0,100.0,0.0,11.6,0.3057,3.54612,0.28534076889795595
Argentina,Providencia_spp_COL,2016,Providencia_spp,COL,100.0,2.0,Updated_Shionogi Five year SIDERO-WT Surveillance data(without strain number)_Vivli_220409.csv,12.61,0.3011,12699.9623137756,10.05355549,48.5396557191852,5.024,4.94,91.5856817228217,43.4324236577764,42.3,99.0413738458383,Unknown,Unknown,100.0,100.0,100.0,100.0,0.0,12.61,0.3011,3.7968709999999994,0.28956876043656216
Argentina,Providencia_spp_FQ,2014,Providencia_spp,FQ,25.0,4.0,Updated_Shionogi Five year SIDERO-WT Surveillance data(without strain number)_Vivli_220409.csv,11.97,0.2839,12233.1444119186,9.79773045,48.9746773378846,4.925,4.84,91.3975345472954,44.1959177327355,41.8,98.9232481866542,Unknown,Unknown,100.0,100.0,100.0,100.0,-75.0,12.1,0.2968,3.59128,0.2951829330158009
Argentina,Providencia_spp_FQ,2015,Providencia_spp,FQ,0.0,1.0,Updated_Shionogi Five year SIDERO-WT Surveillance data(without strain number)_Vivli_220409.csv,11.6,0.3057,13679.6264980954,10.27364159,48.7629462708609,4.98,4.95,91.4923019108628,44.1239360687546,37.377,98.9823076742804,Unknown,Unknown,25.0,100.0,100.0,62.5,-25.0,11.97,0.2839,3.398283,0.28534076889795595
Argentina,Providencia_spp_FQ,2016,Providencia_spp,FQ,0.0,2.0,Updated_Shionogi Five year SIDERO-WT Surveillance data(without strain number)_Vivli_220409.csv,12.61,0.3011,12699.9623137756,10.05355549,48.5396557191852,5.024,4.94,91.5856817228217,43.4324236577764,42.3,99.0413738458383,Unknown,Unknown,0.0,25.0,100.0,41.666666666666664,0.0,11.6,0.3057,3.54612,0.28956876043656216
Australia,Providencia_spp_3GC,2014,Providencia_spp,3GC,0.0,12.0,Updated_Shionogi Five year SIDERO-WT Surveillance data(without strain number)_Vivli_220409.csv,12.34,0.2974,62817.2061751737,9.82833862,94.9221484926823,3.432,3.77,86.7221289343356,48.7383986566523,34.4,99.9614825180861,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,12.34,0.2974,3.6699159999999997,0.18977107696512024
Australia,Providencia_spp_3GC,2015,Providencia_spp,3GC,0.0,12.0,Updated_Shionogi Five year SIDERO-WT Surveillance data(without strain number)_Vivli_220409.csv,12.27,0.2879,56970.3613028094,10.13642025,95.0072884527921,3.486,3.79,86.8778642539361,45.3144240657095,37.236,99.9700064923964,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,12.27,0.2879,3.532533,0.18730064898202428
Australia,Providencia_spp_3GC,2016,Providencia_spp,3GC,0.0,20.0,Updated_Shionogi Five year SIDERO-WT Surveillance data(without strain number)_Vivli_220409.csv,12.94,0.29,50084.4440606385,10.08958244,95.0924284129018,3.557,3.82,87.0166295249235,44.5399257932247,33.7,99.9699685481919,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,12.94,0.29,3.7525999999999997,0.188649753888756
Australia,Providencia_spp_CARB,2014,Providencia_spp,CARB,0.0,3.0,Updated_Shionogi Five year SIDERO-WT Surveillance data(without strain number)_Vivli_220409.csv,12.34,0.2974,62817.2061751737,9.82833862,94.9221484926823,3.432,3.77,86.7221289343356,48.7383986566523,34.4,99.9614825180861,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,12.34,0.2974,3.6699159999999997,0.18977107696512024
Australia,Providencia_spp_CARB,2015,Providencia_spp,CARB,0.0,3.0,Updated_Shionogi Five year SIDERO-WT Surveillance data(without strain number)_Vivli_220409.csv,12.27,0.2879,56970.3613028094,10.13642025,95.0072884527921,3.486,3.79,86.8778642539361,45.3144240657095,37.236,99.9700064923964,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,12.27,0.2879,3.532533,0.18730064898202428
Australia,Providencia_spp_CARB,2016,Providencia_spp,CARB,0.0,5.0,Updated_Shionogi Five year SIDERO-WT Surveillance data(without strain number)_Vivli_220409.csv,12.94,0.29,50084.4440606385,10.08958244,95.0924284129018,3.557,3.82,87.0166295249235,44.5399257932247,33.7,99.9699685481919,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,12.94,0.29,3.7525999999999997,0.188649753888756
Australia,Providencia_spp_COL,2014,Providencia_spp,COL,100.0,3.0,Updated_Shionogi Five year SIDERO-WT Surveillance data(without strain number)_Vivli_220409.csv,12.34,0.2974,62817.2061751737,9.82833862,94.9221484926823,3.432,3.77,86.7221289343356,48.7383986566523,34.4,99.9614825180861,Unknown,Unknown,100.0,100.0,100.0,100.0,0.0,12.34,0.2974,3.6699159999999997,0.18977107696512024
