country,year,total_DDD,watch_proportion,ses_risk_score,antibiotic_pressure_index
Ghana,2010,11.5,0.2878,0.6836326676011228,3.3097
Ghana,2011,11.37,0.2749,0.6764048531147966,3.1256129999999995
Ghana,2012,11.0,0.2967,0.6793491759034593,3.2637
Ghana,2013,12.01,0.2921,0.6572832907046529,3.508121
Ghana,2014,11.89,0.3053,0.6666126203157992,3.6300170000000005
Ghana,2015,12.78,0.2948,0.6636709716102529,3.767544
Ghana,2016,12.38,0.2954,0.6696257663563217,3.657052
Ghana,2017,12.48,0.3023,0.6746296930477143,3.7727040000000005
Ghana,2018,12.75,0.3109,0.670399982613262,3.963975
Ghana,2019,13.06,0.3045,0.6622546200578627,3.97677
Ghana,2020,14.01,0.3037,0.6462237891520052,4.254837
Ghana,2021,12.97,0.3177,0.6481828458424974,4.120569
Ghana,2022,12.97,0.3196,0.6509718788904925,4.145212
Ghana,2023,14.39,0.3207,0.6494551788528309,4.614873
Ghana,2024,14.2,0.3025,0.36366291193066,4.2955
Ghana,2025,14.62,0.33,0.35304214300991005,4.8246
Ghana,2026,14.13,0.3481,0.3617455290206134,4.918653000000001
Ghana,2027,14.31,0.3152,0.3389837158689699,4.510512
Ghana,2028,14.28,0.3353,0.3449770799522266,4.788084
Ghana,2029,15.34,0.3424,0.34905523342163347,5.252415999999999
Ghana,2030,15.27,0.3329,0.3657369753634414,5.0833829999999995
Kenya,2010,9.09,0.289,0.6339793831643648,2.62701
Kenya,2011,8.52,0.316,0.633899654568219,2.69232
Kenya,2012,9.32,0.3107,0.6284901022822004,2.895724
Kenya,2013,9.75,0.3043,0.6252455257034125,2.9669250000000003
Kenya,2014,9.54,0.3204,0.620967806330134,3.056616
Kenya,2015,9.75,0.3214,0.6199238138880815,3.1336500000000003
Kenya,2016,10.21,0.3101,0.6177507485523908,3.166121
Kenya,2017,10.89,0.3131,0.6217727685353482,3.409659
Kenya,2018,10.84,0.3307,0.6166199603298643,3.584788
Kenya,2019,11.51,0.3228,0.6086105091761667,3.7154279999999997
Kenya,2020,11.03,0.337,0.6110218717592286,3.71711
Kenya,2021,11.57,0.3507,0.6052797949789852,4.057599000000001
Kenya,2022,11.87,0.3462,0.5997286776341721,4.109394
Kenya,2023,12.41,0.371,0.5986657963275819,4.60411
Kenya,2024,11.71,0.3539,0.5511026421514953,4.144169
Kenya,2025,12.8,0.3589,0.553444332112922,4.59392
Kenya,2026,13.32,0.3587,0.5502868568560737,4.777884
Kenya,2027,12.59,0.3747,0.5467745068681067,4.717473
Kenya,2028,12.14,0.3652,0.5558048265503145,4.433528000000001
Kenya,2029,14.45,0.3743,0.5489176572044236,5.408635
Kenya,2030,13.89,0.3685,0.554234365939377,5.1184650000000005
Malawi,2010,11.39,0.2796,0.38151673548162107,3.1846440000000005
Malawi,2011,12.34,0.2739,0.3723790964443463,3.3799259999999998
Malawi,2012,10.7,0.2911,0.38729498130274,3.11477
Malawi,2013,12.62,0.2831,0.31809,3.572722
Malawi,2014,11.47,0.2823,0.3823208678076413,3.237981
Malawi,2015,12.57,0.2904,0.3998972553308965,3.650328
Malawi,2016,12.62,0.2754,0.3636978678972631,3.4755479999999994
Malawi,2017,12.59,0.3099,0.36687030607021986,3.901641
Malawi,2018,12.89,0.2948,0.3826966742558289,3.7999720000000003
Malawi,2019,13.62,0.3179,0.364908053907642,4.329798
Malawi,2020,13.21,0.3036,0.3699662920964709,4.010556
Malawi,2021,14.11,0.3085,0.3657841698042077,4.3529349999999996
Malawi,2022,13.73,0.335,0.3646962369270002,4.599550000000001
Malawi,2023,14.07,0.315,0.3620062432122184,4.43205
Malawi,2024,13.41,0.3234,0.3565437572815725,4.336794
Malawi,2025,14.37,0.3198,0.3438866068969462,4.5955259999999996
Malawi,2026,14.97,0.3161,0.3481663925323209,4.732017
Malawi,2027,14.17,0.3241,0.3622864410688544,4.592497
Malawi,2028,14.98,0.3197,0.3429455818797099,4.789106
Malawi,2029,14.72,0.3292,0.3422355371944231,4.845824
Malawi,2030,15.36,0.3333,0.32195508876295764,5.119488
Uganda,2010,11.76,0.2581,0.615546353099379,3.035256
Uganda,2011,11.73,0.2772,0.6002816158297908,3.2515560000000003
Uganda,2012,11.95,0.3058,0.6657090656320803,3.65431
Uganda,2013,11.93,0.291,0.6020664250355978,3.4716299999999998
Uganda,2014,12.5,0.2788,0.5965920036138499,3.485
Uganda,2015,12.63,0.3032,0.6716763188475643,3.8294160000000006
Uganda,2016,12.51,0.3046,0.623183923670236,3.8105459999999995
Uganda,2017,12.81,0.2935,0.6811617571832571,3.759735
Uganda,2018,12.44,0.3139,0.6284474342453519,3.904916
Uganda,2019,13.88,0.2992,0.6262011953860005,4.152896
Uganda,2020,13.51,0.298,0.6635685754066889,4.02598
Uganda,2021,13.38,0.3082,0.6055867638739039,4.123716
Uganda,2022,13.31,0.3154,0.6641864160133832,4.197974
Uganda,2023,14.36,0.3248,0.6108723494320538,4.664128
Uganda,2024,13.96,0.3364,0.3547970136573981,4.696144
Uganda,2025,14.45,0.3432,0.36089285986711117,4.959239999999999
Uganda,2026,14.05,0.3584,0.3443203901395274,5.03552
Uganda,2027,14.7,0.3194,0.3493743099874598,4.69518
Uganda,2028,14.54,0.3436,0.3331489020918784,4.995944
Uganda,2029,15.53,0.3454,0.34187066538179645,5.364062
Uganda,2030,15.61,0.329,0.3231585669974418,5.13569
