country,combo,year,yhat,yhat_lower,yhat_upper,source
Ghana,A_baumannii_3GC,2024,0.0,0.0,0.9,naive_last_value
Ghana,Burkholderia_spp_3GC,2024,100.0,82.0,100.0,naive_last_value
Ghana,C_freundii_3GC,2024,100.0,82.0,100.0,naive_last_value
Ghana,Coagulase_negative_3GC,2024,100.0,82.0,100.0,naive_last_value
Ghana,E_cloacae_3GC,2024,100.0,82.0,100.0,naive_last_value
Ghana,E_coli_3GC,2024,90.0,73.8,100.0,naive_last_value
Ghana,K_pneumoniae_3GC,2024,90.0,73.8,100.0,naive_last_value
Ghana,Klebsiella_spp_3GC,2024,100.0,82.0,100.0,naive_last_value
Ghana,Moraxella_catarrhalis_3GC,2024,100.0,82.0,100.0,naive_last_value
Ghana,P_aeruginosa_3GC,2024,100.0,82.0,100.0,naive_last_value
Ghana,P_mirabilis_3GC,2024,100.0,82.0,100.0,naive_last_value
Ghana,Pantoea_agglomerans_3GC,2024,100.0,82.0,100.0,naive_last_value
Ghana,Pseudomonas_spp_3GC,2024,100.0,82.0,100.0,naive_last_value
Ghana,Staphylococcus_haemolyticus_3GC,2024,100.0,82.0,100.0,naive_last_value
Ghana,Staphylococcus_spp_3GC,2024,50.0,41.0,59.0,naive_last_value
Kenya,A_baumannii_3GC,2024,50.0,41.0,59.0,naive_last_value
Kenya,Achromobacter_xylosoxidans_3GC,2024,100.0,82.0,100.0,naive_last_value
Kenya,Burkholderia_spp_3GC,2024,0.0,0.0,0.9,naive_last_value
Kenya,C_freundii_3GC,2024,100.0,82.0,100.0,naive_last_value
Kenya,Coagulase_negative_Staphylococcus_3GC,2024,100.0,82.0,100.0,naive_last_value
Kenya,E_cloacae_3GC,2024,75.0,61.5,88.5,naive_last_value
Kenya,E_coli_3GC,2024,80.77,66.23,95.31,naive_last_value
Kenya,K_pneumoniae_3GC,2024,90.0,73.8,100.0,naive_last_value
Kenya,Klebsiella_oxytoca_3GC,2024,100.0,82.0,100.0,naive_last_value
Kenya,M_morganii_3GC,2024,100.0,82.0,100.0,naive_last_value
Kenya,P_aeruginosa_3GC,2024,100.0,82.0,100.0,naive_last_value
Kenya,P_mirabilis_3GC,2024,50.0,41.0,59.0,naive_last_value
Kenya,Providencia_spp_3GC,2024,0.0,0.0,0.9,naive_last_value
Kenya,Raoultella_ornithinolytica_3GC,2024,0.0,0.0,0.9,naive_last_value
Kenya,S_aureus_3GC,2024,100.0,82.0,100.0,naive_last_value
Kenya,S_marcescens_3GC,2024,100.0,82.0,100.0,naive_last_value
Kenya,Staphylococcus_epidermidis_3GC,2024,75.0,61.5,88.5,naive_last_value
Kenya,Staphylococcus_haemolyticus_3GC,2024,66.67,54.67,78.67,naive_last_value
Kenya,Staphylococcus_hominis_3GC,2024,66.67,54.67,78.67,naive_last_value
Kenya,Staphylococcus_spp_3GC,2024,100.0,82.0,100.0,naive_last_value
Malawi,Acinetobacter_spp_3GC,2024,100.0,82.0,100.0,naive_last_value
Malawi,P_aeruginosa_3GC,2024,100.0,82.0,100.0,naive_last_value
Malawi,S_aureus_3GC,2024,100.0,82.0,100.0,naive_last_value
Uganda,A_baumannii_3GC,2024,100.0,82.0,100.0,naive_last_value
Uganda,Acinetobacter_spp_3GC,2024,100.0,82.0,100.0,naive_last_value
