Country,Organism,Antibiotic,SurveyYear,Interpretation
South Africa,Staphylococcus aureus,Methicillin,2016,R
South Africa,Staphylococcus aureus,Methicillin,2016,R
South Africa,Staphylococcus aureus,Methicillin,2016,R
South Africa,Staphylococcus aureus,Methicillin,2016,I
South Africa,Staphylococcus aureus,Methicillin,2016,S
South Africa,Staphylococcus aureus,Methicillin,2016,S
South Africa,Staphylococcus aureus,Methicillin,2016,R
South Africa,Staphylococcus aureus,Methicillin,2016,R
South Africa,Staphylococcus aureus,Methicillin,2016,I
South Africa,Staphylococcus aureus,Methicillin,2016,S
South Africa,Staphylococcus aureus,Methicillin,2016,S
South Africa,Staphylococcus aureus,Methicillin,2016,S
South Africa,Staphylococcus aureus,Methicillin,2016,I
South Africa,Staphylococcus aureus,Methicillin,2016,R
South Africa,Staphylococcus aureus,Methicillin,2016,S
South Africa,Staphylococcus aureus,Methicillin,2016,S
South Africa,Staphylococcus aureus,Methicillin,2016,I
South Africa,Staphylococcus aureus,Methicillin,2016,S
South Africa,Staphylococcus aureus,Methicillin,2016,I
South Africa,Staphylococcus aureus,Methicillin,2016,S
South Africa,Staphylococcus aureus,Methicillin,2016,S
South Africa,Staphylococcus aureus,Methicillin,2016,R
South Africa,Staphylococcus aureus,Methicillin,2016,S
South Africa,Staphylococcus aureus,Methicillin,2016,S
South Africa,Staphylococcus aureus,Methicillin,2016,S
South Africa,Staphylococcus aureus,Methicillin,2016,S
South Africa,Staphylococcus aureus,Methicillin,2016,S
South Africa,Staphylococcus aureus,Methicillin,2016,I
South Africa,Staphylococcus aureus,Methicillin,2016,I
South Africa,Staphylococcus aureus,Methicillin,2016,R
South Africa,Staphylococcus aureus,Methicillin,2016,I
South Africa,Staphylococcus aureus,Methicillin,2016,S
South Africa,Staphylococcus aureus,Methicillin,2016,I
South Africa,Staphylococcus aureus,Methicillin,2016,S
South Africa,Staphylococcus aureus,Methicillin,2016,R
South Africa,Staphylococcus aureus,Methicillin,2016,S
South Africa,Staphylococcus aureus,Methicillin,2016,R
South Africa,Staphylococcus aureus,Methicillin,2016,I
South Africa,Staphylococcus aureus,Methicillin,2016,R
South Africa,Staphylococcus aureus,Methicillin,2016,S
South Africa,Staphylococcus aureus,Methicillin,2016,R
South Africa,Staphylococcus aureus,Methicillin,2016,S
South Africa,Staphylococcus aureus,Methicillin,2016,S
South Africa,Staphylococcus aureus,Methicillin,2016,S
South Africa,Staphylococcus aureus,Methicillin,2016,I
South Africa,Staphylococcus aureus,Methicillin,2016,R
South Africa,Staphylococcus aureus,Methicillin,2016,S
South Africa,Staphylococcus aureus,Methicillin,2016,S
South Africa,Staphylococcus aureus,Methicillin,2016,R
South Africa,Staphylococcus aureus,Methicillin,2016,R
South Africa,Staphylococcus aureus,Methicillin,2016,R
South Africa,Staphylococcus aureus,Methicillin,2016,R
South Africa,Staphylococcus aureus,Methicillin,2016,S
South Africa,Staphylococcus aureus,Methicillin,2016,I
South Africa,Staphylococcus aureus,Methicillin,2016,S
South Africa,Staphylococcus aureus,Methicillin,2016,S
South Africa,Staphylococcus aureus,Methicillin,2016,R
South Africa,Staphylococcus aureus,Methicillin,2016,S
South Africa,Staphylococcus aureus,Methicillin,2016,S
South Africa,Staphylococcus aureus,Methicillin,2016,S
South Africa,Staphylococcus aureus,Methicillin,2016,S
South Africa,Staphylococcus aureus,Methicillin,2016,R
South Africa,Staphylococcus aureus,Methicillin,2016,S
South Africa,Staphylococcus aureus,Methicillin,2016,S
South Africa,Staphylococcus aureus,Methicillin,2016,R
South Africa,Staphylococcus aureus,Methicillin,2016,S
South Africa,Staphylococcus aureus,Methicillin,2016,R
South Africa,Staphylococcus aureus,Methicillin,2016,S
South Africa,Staphylococcus aureus,Methicillin,2016,S
South Africa,Staphylococcus aureus,Methicillin,2016,R
South Africa,Staphylococcus aureus,Methicillin,2016,R
South Africa,Staphylococcus aureus,Methicillin,2016,R
South Africa,Staphylococcus aureus,Methicillin,2016,S
South Africa,Staphylococcus aureus,Methicillin,2016,S
South Africa,Staphylococcus aureus,Methicillin,2016,I
South Africa,Staphylococcus aureus,Methicillin,2016,I
South Africa,Staphylococcus aureus,Methicillin,2016,R
South Africa,Staphylococcus aureus,Methicillin,2016,S
South Africa,Staphylococcus aureus,Methicillin,2016,R
South Africa,Staphylococcus aureus,Methicillin,2016,R
South Africa,Staphylococcus aureus,Methicillin,2016,S
South Africa,Staphylococcus aureus,Methicillin,2016,R
South Africa,Staphylococcus aureus,Methicillin,2016,S
South Africa,Staphylococcus aureus,Methicillin,2016,R
South Africa,Staphylococcus aureus,Methicillin,2016,S
South Africa,Staphylococcus aureus,Methicillin,2016,S
South Africa,Staphylococcus aureus,Methicillin,2016,S
South Africa,Staphylococcus aureus,Methicillin,2016,S
South Africa,Staphylococcus aureus,Methicillin,2016,R
